Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518421297.22,12500.503,-0.61,24.999,19.099,-0.640481618929
1518421298.22,12500.503,-0.61,25.0,19.088,-0.622385114715
1518421299.22,12500.503,-0.61,24.997,19.12,-0.60448876195
1518421300.22,12500.511,0.03,24.997,19.099,-0.586792560633
1518421301.22,12500.511,0.03,24.994,19.088,-0.569296510763
1518421302.21,12500.511,0.03,24.996,19.12,-0.552000612342
1518421303.22,12500.505,-0.45,24.995,19.109,-0.534904865369
1518421304.22,12500.505,-0.45,24.998,19.099,-0.518009269844
1518421305.22,12500.505,-0.45,24.997,19.109,-0.501313825768
1518421306.22,12500.505,-0.45,25.0,19.099,-0.484818533139
1518421307.22,12500.503,-0.61,24.998,19.109,-0.468523391958
1518421308.22,12500.503,-0.61,25.001,19.088,-0.452428402226
1518421309.22,12500.503,-0.61,24.996,19.099,-0.436533563941
1518421310.22,12500.493,-1.41,24.998,19.099,-0.420838877105
1518421311.22,12500.493,-1.41,24.995,19.099,-0.405344341716
1518421312.22,12500.493,-1.41,24.996,19.131,-0.390049957776
1518421313.22,12500.495,-1.25,24.995,19.077,-0.374955725284
1518421314.22,12500.495,-1.25,24.997,19.109,-0.36006164424
1518421315.22,12500.495,-1.25,24.997,19.109,-0.345367714644
1518421316.22,12500.495,-1.25,24.999,19.109,-0.330873936496
1518421317.22,12500.513,0.19,24.998,19.12,-0.316580309796
1518421318.22,12500.513,0.19,24.999,19.099,-0.302486834544
1518421319.22,12500.513,0.19,24.999,19.088,-0.28859351074
1518421320.22,12500.511,0.03,25.002,19.088,-0.274900338384
1518421321.22,12500.511,0.03,25.0,19.088,-0.261407317477
1518421322.22,12500.511,0.03,25.002,19.109,-0.248114448017
1518421323.22,12500.508,-0.21,24.999,19.099,-0.235021730006
1518421324.22,12500.508,-0.21,25.001,19.099,-0.222129163443
1518421325.22,12500.508,-0.21,24.998,19.099,-0.209436748327
1518421326.22,12500.508,-0.21,25.0,19.088,-0.19694448466
1518421327.22,12500.521,0.83,24.998,19.099,-0.184652372441
1518421328.22,12500.521,0.83,25.0,19.109,-0.17256041167
1518421329.22,12500.521,0.83,24.998,19.099,-0.160668602347
1518421330.22,12500.508,-0.21,25.002,19.099,-0.148976944472
1518421331.22,12500.508,-0.21,25.001,19.088,-0.137485438046
1518421332.22,12500.508,-0.21,25.003,19.099,-0.126194083067
1518421333.22,12500.521,0.83,24.999,19.099,-0.115102879536
1518421334.22,12500.521,0.83,25.001,19.088,-0.104211827454
1518421335.22,12500.521,0.83,24.999,19.12,-0.0935209268193
1518421336.22,12500.521,0.83,25.002,19.077,-0.0830301776329
1518421337.22,12500.495,-1.25,25.0,19.088,-0.0727395798946
1518421338.22,12500.495,-1.25,25.002,19.077,-0.0626491336044
1518421339.22,12500.495,-1.25,24.999,19.088,-0.0527588387623
1518421340.23,12500.511,0.03,25.001,19.099,-0.0430686953682
1518421341.22,12500.511,0.03,24.999,19.088,-0.0335787034223
1518421342.22,12500.511,0.03,25.003,19.099,-0.0242888629244
1518421343.22,12500.518,0.59,25.001,19.099,-0.0151991738745
1518421344.22,12500.518,0.59,25.004,19.099,-0.00630963627279
1518421345.22,12500.518,0.59,25.001,19.077,0.00237974988087
1518421346.22,12500.518,0.59,25.003,19.077,0.0108689845864
1518421347.23,12500.5,-0.85,25.0,19.066,0.019158067844
1518421348.23,12500.5,-0.85,25.001,19.088,0.0272469996534
1518421349.22,12500.5,-0.85,24.998,19.099,0.0351357800147
1518421350.22,12500.5,-0.85,25.001,19.088,0.042824408928
1518421351.22,12500.5,-0.85,24.997,19.077,0.0503128863932
1518421352.23,12500.5,-0.85,25.001,19.088,0.0576012124103
1518421353.23,12500.513,0.19,24.999,19.099,0.0646893869793
1518421354.23,12500.513,0.19,25.002,19.066,0.0715774101002
1518421355.23,12500.513,0.19,25.001,19.056,0.0782652817731
1518421356.23,12500.513,0.19,25.004,19.066,0.0847530019979
1518421357.23,12500.531,1.63,25.001,19.045,0.0910405707746
1518421358.22,12500.531,1.63,25.002,19.056,0.0971279881032
1518421359.23,12500.531,1.63,24.999,19.056,0.103015253984
1518421360.23,12500.513,0.19,24.999,19.045,0.108702368416
1518421361.23,12500.513,0.19,24.998,19.056,0.114189331401
1518421362.23,12500.513,0.19,25.002,19.066,0.119476142937
1518421363.23,12500.513,0.19,25.001,19.034,0.124562803025
1518421364.23,12500.513,0.19,25.003,19.056,0.129449311665
1518421365.23,12500.513,0.19,25.001,19.056,0.134135668857
1518421366.23,12500.513,0.19,25.002,19.045,0.138621874601
1518421367.23,12500.516,0.43,24.998,19.056,0.142907928897
1518421368.23,12500.516,0.43,25.0,19.056,0.146993831745
1518421369.23,12500.516,0.43,24.998,19.045,0.150879583145
1518421370.23,12500.505,-0.45,25.002,19.056,0.154565183097
1518421371.23,12500.505,-0.45,25.0,19.066,0.1580506316
1518421372.23,12500.505,-0.45,25.004,19.045,0.161335928656
1518421373.23,12500.505,-0.45,25.001,19.066,0.158924109045
