timestamps,resistance,ppm,temp_c,ambient_c,savgol_151_2
1517933116.9,70003.302,-0.48,24.994,21.405,0.0869457828443
1517933117.9,70003.302,-0.48,25.0,21.405,0.087829192381
1517933118.9,70003.325,-0.15,25.001,21.383,0.0886756697408
1517933119.9,70003.325,-0.15,25.004,21.372,0.0894852149237
1517933120.9,70003.325,-0.15,24.999,21.383,0.0902578279296
1517933121.9,70003.325,-0.15,24.999,21.383,0.0909935087586
1517933122.9,70003.37,0.49,24.994,21.383,0.0916922574107
1517933123.9,70003.37,0.49,24.996,21.415,0.0923540738859
1517933124.9,70003.37,0.49,24.996,21.383,0.0929789581842
1517933125.9,70003.36,0.35,24.999,21.372,0.0935669103055
1517933126.9,70003.36,0.35,24.997,21.394,0.0941179302499
1517933127.9,70003.36,0.35,24.999,21.383,0.0946320180175
1517933128.9,70003.353,0.25,24.997,21.394,0.095109173608
1517933129.9,70003.353,0.25,25.0,21.372,0.0955493970217
1517933130.9,70003.353,0.25,24.997,21.362,0.0959526882585
1517933131.9,70003.353,0.25,25.0,21.372,0.0963190473183
1517933132.9,70003.34,0.07,24.999,21.351,0.0966484742012
1517933133.9,70003.34,0.07,25.002,21.362,0.0969409689072
1517933134.9,70003.34,0.07,25.0,21.372,0.0971965314363
1517933135.9,70003.307,-0.41,25.002,21.362,0.0974151617884
1517933136.91,70003.307,-0.41,24.999,21.362,0.0975968599636
1517933137.9,70003.307,-0.41,25.001,21.372,0.097741625962
1517933138.9,70003.335,-0.01,24.998,21.362,0.0978494597834
1517933139.9,70003.335,-0.01,24.999,21.372,0.0979203614278
1517933140.9,70003.335,-0.01,24.997,21.351,0.0979543308954
1517933141.9,70003.335,-0.01,25.002,21.362,0.097951368186
1517933142.91,70003.37,0.49,24.999,21.362,0.0979114732997
1517933143.91,70003.37,0.49,25.003,21.351,0.0978346462365
1517933144.91,70003.37,0.49,25.0,21.329,0.0977208869964
1517933145.9,70003.335,-0.01,25.002,21.319,0.0975701955794
1517933146.9,70003.335,-0.01,24.998,21.329,0.0973825719854
1517933147.9,70003.335,-0.01,25.0,21.34,0.0971580162145
1517933148.91,70003.355,0.28,24.998,21.329,0.0968965282668
1517933149.91,70003.355,0.28,25.001,21.34,0.096598108142
1517933150.91,70003.355,0.28,25.0,21.329,0.0962627558404
1517933151.91,70003.355,0.28,25.002,21.351,0.0958904713619
1517933152.91,70003.327,-0.12,24.999,21.34,0.0954812547064
1517933153.91,70003.327,-0.12,25.001,21.329,0.095035105874
1517933154.91,70003.327,-0.12,24.997,21.34,0.0945520248647
1517933155.91,70003.33,-0.08,25.0,21.329,0.0940320116784
1517933156.91,70003.33,-0.08,24.997,21.351,0.0934750663153
1517933157.91,70003.33,-0.08,25.0,21.34,0.0928811887752
1517933158.91,70003.381,0.65,24.998,21.351,0.0922503790582
1517933159.91,70003.381,0.65,25.002,21.329,0.0915826371643
1517933160.91,70003.381,0.65,25.002,21.34,0.0908779630935
1517933161.91,70003.381,0.65,25.002,21.319,0.0901363568458
1517933162.91,70003.353,0.25,24.998,21.319,0.0893578184211
1517933163.91,70003.353,0.25,24.997,21.319,0.0885423478195
1517933164.91,70003.353,0.25,24.993,21.287,0.087689945041
1517933165.91,70003.335,-0.01,24.996,21.308,0.0868006100856
1517933166.91,70003.335,-0.01,24.995,21.319,0.0858743429533
1517933167.91,70003.335,-0.01,25.0,21.297,0.084911143644
1517933168.91,70003.363,0.39,25.002,21.287,0.0839110121578
1517933169.91,70003.363,0.39,25.006,21.319,0.0828739484947
1517933170.91,70003.363,0.39,25.001,21.319,0.0817999526547
1517933171.91,70003.363,0.39,25.002,21.297,0.0806890246378
1517933172.91,70003.309,-0.38,24.995,21.329,0.0795411644439
1517933173.91,70003.309,-0.38,24.994,21.297,0.0783563720731
1517933174.91,70003.309,-0.38,24.993,21.329,0.0771346475254
1517933175.91,70003.33,-0.08,24.999,21.319,0.0758759908008
1517933176.91,70003.33,-0.08,25.001,21.297,0.0745804018993
1517933177.91,70003.33,-0.08,25.007,21.297,0.0732478808208
1517933178.91,70003.355,0.28,25.004,21.308,0.0718784275655
1517933179.91,70003.355,0.28,25.002,21.308,0.0704720421332
1517933180.91,70003.355,0.28,24.995,21.297,0.069028724524
1517933181.91,70003.355,0.28,24.994,21.297,0.0675484747379
1517933182.91,70003.335,-0.01,24.992,21.287,0.0660312927748
1517933183.91,70003.335,-0.01,24.996,21.319,0.0644771786348
1517933184.91,70003.335,-0.01,24.999,21.319,0.062886132318
1517933185.91,70003.332,-0.05,25.004,21.308,0.0612581538242
1517933186.91,70003.332,-0.05,25.001,21.297,0.0595932431534
1517933187.91,70003.332,-0.05,25.003,21.319,0.0578914003058
1517933188.91,70003.332,-0.05,24.997,21.319,0.0561526252812
1517933189.91,70003.365,0.42,24.998,21.297,0.0543769180797
1517933190.91,70003.365,0.42,24.993,21.308,0.0525642787013
1517933191.92,70003.365,0.42,24.995,21.319,0.050714707146
1517933192.92,70003.309,-0.38,24.994,21.34,0.0390875760056
1517933193.91,70003.309,-0.38,25.0,21.34,0.0272562092084
1517933194.91,70003.309,-0.38,25.002,21.329,0.0197558410003
1517933195.91,70003.307,-0.41,25.007,21.329,0.012181308276
1517933196.92,70003.307,-0.41,25.002,21.34,0.00453051943921
1517933197.92,70003.307,-0.41,25.001,21.308,-0.00540871969038
1517933198.92,70003.307,-0.41,24.995,21.329,-0.00870810815993
1517933199.92,70003.34,0.07,24.994,21.329,-0.0115160150909
1517933200.92,70003.34,0.07,24.993,21.319,-0.0138309589359
1517933201.92,70003.34,0.07,24.999,21.319,-0.0153592098647
1517933202.92,70003.325,-0.15,25.0,21.329,-0.0166017400338
1517933203.92,70003.325,-0.15,25.005,21.329,-0.0175567192965
1517933204.92,70003.325,-0.15,25.003,21.329,-0.0185763898875
1517933205.92,70003.378,0.61,25.004,21.34,-0.0194169675515
1517933206.92,70003.378,0.61,24.998,21.329,-0.0200768835913
1517933207.92,70003.378,0.61,24.999,21.329,-0.0212272092267
1517933208.92,70003.378,0.61,24.995,21.329,-0.0239963693376
1517933209.92,70003.348,0.18,24.997,21.319,-0.0266553284721
1517933210.92,70003.348,0.18,24.998,21.308,-0.0292046966793
1517933211.92,70003.348,0.18,25.003,21.308,-0.0379185828739
1517933212.92,70003.317,-0.26,25.002,21.329,-0.0467532151756
1517933213.92,70003.317,-0.26,25.003,21.34,-0.0557146069237
1517933214.92,70003.317,-0.26,24.999,21.351,-0.0561856256792
1517933215.92,70003.315,-0.29,24.999,21.329,-0.0568339072151
1517933216.92,70003.315,-0.29,24.995,21.34,-0.057657882834
1517933217.92,70003.315,-0.29,24.999,21.329,-0.0545240529209
1517933218.92,70003.315,-0.29,24.999,21.34,-0.0467084027264
1517933219.92,70003.348,0.18,25.005,21.329,-0.039005829453
1517933220.92,70003.348,0.18,25.003,21.34,-0.0314066594681
1517933221.92,70003.348,0.18,25.006,21.351,-0.0351846312995
1517933222.92,70003.307,-0.41,25.001,21.34,-0.0389644768526
1517933223.92,70003.307,-0.41,25.002,21.329,-0.0427464575768
1517933224.92,70003.307,-0.41,24.999,21.329,-0.036058238754
1517933225.92,70003.342,0.09,25.001,21.34,-0.0296857638117
1517933226.92,70003.342,0.09,24.999,21.329,-0.0236199691664
1517933227.92,70003.342,0.09,25.003,21.329,-0.0230407277361
1517933228.92,70003.342,0.09,25.002,21.329,-0.0265062848109
1517933229.92,70003.358,0.32,25.005,21.319,-0.0301721122246
1517933230.92,70003.358,0.32,25.001,21.319,-0.0340373384787
1517933231.92,70003.358,0.32,25.001,21.297,-0.0424949779903
1517933232.92,70003.322,-0.19,24.999,21.297,-0.0507989723291
1517933233.92,70003.322,-0.19,25.002,21.319,-0.0589524588893
1517933234.92,70003.322,-0.19,24.998,21.308,-0.0566769242032
1517933235.92,70003.34,0.07,25.003,21.319,-0.0539587554654
1517933236.92,70003.34,0.07,25.0,21.308,-0.0507922007863
1517933237.92,70003.34,0.07,25.003,21.308,-0.0471715082762
1517933238.92,70003.34,0.07,25.0,21.308,-0.0461407696551
1517933239.93,70003.342,0.09,25.004,21.297,-0.0449824872391
1517933240.92,70003.342,0.09,25.002,21.297,-0.0436934364839
1517933241.92,70003.342,0.09,25.004,21.297,-0.043978930654
1517933242.92,70003.294,-0.59,25.0,21.287,-0.0443654750669
1517933243.92,70003.294,-0.59,25.003,21.287,-0.0448512395758
1517933244.93,70003.294,-0.59,24.998,21.265,-0.040943179174
1517933245.93,70003.294,-0.59,25.002,21.287,-0.036889970709
1517933246.93,70003.342,0.09,25.001,21.287,-0.0326859494409
1517933247.93,70003.342,0.09,25.004,21.265,-0.0283254506301
1517933248.92,70003.342,0.09,25.002,21.265,-0.0379544363192
1517933249.92,70003.309,-0.38,25.003,21.254,-0.0475069480212
1517933250.93,70003.309,-0.38,25.0,21.265,-0.0569896962741
1517933251.93,70003.309,-0.38,25.001,21.254,-0.0626566148038
1517933252.93,70003.312,-0.33,24.997,21.254,-0.0681126307139
1517933253.93,70003.312,-0.33,24.999,21.276,-0.0733612299981
1517933254.93,70003.312,-0.33,24.997,21.265,-0.0733644545422
1517933255.93,70003.312,-0.33,25.001,21.276,-0.0730181210668
1517933256.93,70003.322,-0.19,24.999,21.265,-0.0723213580735
1517933257.93,70003.322,-0.19,25.003,21.265,-0.0712732940636
1517933258.93,70003.322,-0.19,25.0,21.254,-0.0713130605369
1517933259.93,70003.363,0.39,25.001,21.244,-0.0712970075359
1517933260.93,70003.363,0.39,24.998,21.265,-0.07122539651
1517933261.93,70003.363,0.39,25.0,21.254,-0.0701638939944
1517933262.93,70003.317,-0.26,24.998,21.254,-0.0691649214911
1517933263.93,70003.317,-0.26,25.001,21.254,-0.0682278689511
1517933264.93,70003.317,-0.26,25.0,21.222,-0.0660068464917
1517933265.93,70003.317,-0.26,25.003,21.244,-0.0591118733818
1517933266.93,70003.35,0.21,25.0,21.233,-0.0520533200169
1517933267.93,70003.35,0.21,25.003,21.233,-0.0448252602077
1517933268.93,70003.35,0.21,25.0,21.222,-0.0514970425701
1517933269.93,70003.342,0.09,25.001,21.211,-0.058124770687
1517933270.93,70003.342,0.09,24.999,21.233,-0.0647148064969
