timestamp,resistance,ppm,temp_c,ambient_c
1517988661.53,119.96824,-0.35,25.004,20.471
1517988662.53,119.96824,-0.35,25.005,20.482
1517988663.53,119.96832,0.32,25.002,20.471
1517988664.53,119.96832,0.32,25.003,20.471
1517988665.52,119.96832,0.32,24.998,20.471
1517988666.52,119.96827,-0.10,25.001,20.482
1517988667.52,119.96827,-0.10,25.0,20.471
1517988668.53,119.96827,-0.10,25.003,20.504
1517988669.53,119.96827,-0.10,25.002,20.493
1517988670.53,119.96819,-0.77,25.006,20.493
1517988671.53,119.96819,-0.77,25.004,20.493
1517988672.53,119.96819,-0.77,25.006,20.482
1517988673.52,119.96839,0.90,25.004,20.493
1517988674.53,119.96839,0.90,25.003,20.482
1517988675.53,119.96839,0.90,25.0,20.493
1517988676.53,119.96837,0.73,25.002,20.493
1517988677.53,119.96837,0.73,25.0,20.493
1517988678.53,119.96837,0.73,25.003,20.482
1517988679.53,119.96837,0.73,25.001,20.471
1517988680.53,119.96822,-0.52,25.005,20.482
1517988681.53,119.96822,-0.52,25.002,20.482
1517988682.53,119.96822,-0.52,25.005,20.504
1517988683.53,119.96829,0.07,25.004,20.493
1517988684.53,119.96829,0.07,25.004,20.493
1517988685.53,119.96829,0.07,25.001,20.504
1517988686.53,119.96824,-0.35,25.005,20.504
1517988687.53,119.96824,-0.35,25.003,20.493
1517988688.53,119.96824,-0.35,25.007,20.493
1517988689.53,119.96824,-0.35,25.005,20.514
1517988690.53,119.96822,-0.52,25.007,20.504
1517988691.53,119.96822,-0.52,25.004,20.493
1517988692.53,119.96822,-0.52,25.003,20.504
1517988693.53,119.96832,0.32,25.0,20.493
1517988694.53,119.96832,0.32,25.005,20.493
1517988695.53,119.96832,0.32,25.003,20.493
1517988696.53,119.96832,0.32,25.006,20.493
1517988697.53,119.96832,0.32,25.003,20.471
1517988698.53,119.96832,0.32,25.005,20.482
1517988699.53,119.96832,0.32,25.003,20.482
1517988700.53,119.96816,-1.02,25.005,20.471
1517988701.53,119.96816,-1.02,25.002,20.461
1517988702.53,119.96816,-1.02,25.005,20.482
1517988703.53,119.96822,-0.52,25.003,20.471
1517988704.53,119.96822,-0.52,25.007,20.461
1517988705.53,119.96822,-0.52,25.001,20.461
1517988706.53,119.96822,-0.52,25.005,20.471
1517988707.53,119.96824,-0.35,25.002,20.482
1517988708.53,119.96824,-0.35,25.003,20.482
1517988709.53,119.96824,-0.35,25.001,20.482
1517988710.54,119.9683,0.15,25.004,20.482
1517988711.54,119.9683,0.15,25.002,20.482
1517988712.53,119.9683,0.15,25.004,20.482
1517988713.53,119.96827,-0.10,25.002,20.461
1517988714.53,119.96827,-0.10,25.005,20.461
1517988715.53,119.96827,-0.10,25.002,20.461
1517988716.54,119.96827,-0.10,25.005,20.482
1517988717.54,119.96824,-0.35,25.003,20.45
1517988718.54,119.96824,-0.35,25.006,20.45
1517988719.54,119.96824,-0.35,25.003,20.45
1517988720.53,119.96834,0.48,25.003,20.45
1517988721.53,119.96834,0.48,25.002,20.439
1517988722.54,119.96834,0.48,25.004,20.45
1517988723.54,119.96824,-0.35,25.002,20.429
1517988724.54,119.96824,-0.35,25.005,20.45
1517988725.54,119.96824,-0.35,25.002,20.45
1517988726.54,119.96824,-0.35,25.003,20.45
1517988727.54,119.96842,1.15,24.999,20.45
1517988728.54,119.96842,1.15,25.001,20.439
1517988729.54,119.96842,1.15,24.999,20.429
1517988730.54,119.96819,-0.77,25.0,20.429
1517988731.54,119.96819,-0.77,24.998,20.396
1517988732.54,119.96819,-0.77,25.001,20.429
1517988733.54,119.96838,0.82,24.996,20.439
1517988734.54,119.96838,0.82,25.0,20.45
1517988735.54,119.96838,0.82,24.998,20.439
1517988736.54,119.96838,0.82,25.001,20.429
1517988737.54,119.96811,-1.43,24.998,20.439
1517988738.54,119.96811,-1.43,25.0,20.418
1517988739.54,119.96811,-1.43,24.995,20.418
1517988740.54,119.96834,0.48,24.996,20.439
1517988741.54,119.96834,0.48,24.995,20.418
1517988742.54,119.96834,0.48,24.998,20.439
1517988743.54,119.96842,1.15,24.997,20.396
1517988744.54,119.96842,1.15,25.0,20.429
1517988745.54,119.96842,1.15,24.997,20.418
1517988746.54,119.96842,1.15,25.0,20.429
1517988747.54,119.96832,0.32,24.997,20.407
1517988748.54,119.96832,0.32,24.999,20.429
1517988749.54,119.96832,0.32,24.996,20.45
1517988750.54,119.96827,-0.10,24.998,20.439
1517988751.54,119.96827,-0.10,24.995,20.45
1517988752.54,119.96827,-0.10,24.997,20.461
1517988753.54,119.96819,-0.77,24.994,20.461
1517988754.54,119.96819,-0.77,24.997,20.471
1517988755.54,119.96819,-0.77,24.997,20.493
1517988756.54,119.96819,-0.77,25.002,20.461
1517988757.54,119.96824,-0.35,25.0,20.471
1517988758.54,119.96824,-0.35,25.003,20.45
1517988759.54,119.96824,-0.35,24.999,20.461
1517988760.54,119.96814,-1.18,25.0,20.461
1517988761.54,119.96814,-1.18,24.996,20.45
1517988762.54,119.96814,-1.18,24.998,20.45
