Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518056217.61,119.97784,-0.67,25.002,19.689,-0.231944245108
1518056218.61,119.97796,0.33,25.004,19.71,-0.230702306604
1518056219.61,119.97796,0.33,25.001,19.678,-0.229465935232
1518056220.61,119.97796,0.33,25.004,19.699,-0.228235130991
1518056221.61,119.97796,0.33,25.002,19.699,-0.227009893883
1518056222.61,119.97793,0.08,25.003,19.699,-0.225790223907
1518056223.61,119.97793,0.08,24.999,19.678,-0.224576121062
1518056224.61,119.97793,0.08,25.001,19.699,-0.22336758535
1518056225.61,119.97773,-1.58,25.0,19.71,-0.222164616769
1518056226.61,119.97773,-1.58,25.003,19.721,-0.220967215321
1518056227.61,119.97773,-1.58,25.003,19.699,-0.219775381004
1518056228.61,119.97788,-0.33,25.005,19.71,-0.21858911382
1518056229.61,119.97788,-0.33,25.001,19.721,-0.217408413767
1518056230.61,119.97788,-0.33,25.002,19.699,-0.216233280846
1518056231.61,119.97788,-0.33,25.0,19.721,-0.215063715057
1518056232.61,119.97806,1.17,25.003,19.71,-0.213899716401
1518056233.61,119.97806,1.17,25.001,19.71,-0.212741284876
1518056234.61,119.97806,1.17,25.004,19.721,-0.211588420483
1518056235.61,119.97788,-0.33,25.002,19.721,-0.210441123222
1518056236.61,119.97788,-0.33,25.005,19.721,-0.209299393093
1518056237.61,119.97788,-0.33,25.001,19.699,-0.208163230096
1518056238.61,119.97788,-0.33,25.003,19.721,-0.207032634231
1518056239.61,119.97775,-1.42,24.999,19.721,-0.205907605498
1518056240.61,119.97775,-1.42,25.001,19.721,-0.204788143897
1518056241.61,119.97775,-1.42,24.999,19.721,-0.203674249428
1518056242.61,119.97798,0.5,25.001,19.731,-0.202565922091
1518056243.61,119.97798,0.5,24.999,19.721,-0.201463161885
1518056244.61,119.97798,0.5,25.002,19.721,-0.200365968812
1518056245.61,119.97784,-0.67,24.999,19.71,-0.199274342871
1518056246.61,119.97784,-0.67,25.0,19.721,-0.198188284061
1518056247.61,119.97784,-0.67,24.997,19.721,-0.197107792384
1518056248.61,119.97784,-0.67,24.999,19.721,-0.196032867839
1518056249.62,119.97791,-0.08,24.999,19.742,-0.194963510425
1518056250.62,119.97791,-0.08,25.002,19.731,-0.193899720144
1518056251.62,119.97791,-0.08,24.998,19.731,-0.192841496994
1518056252.62,119.97786,-0.5,25.0,19.731,-0.191788840976
1518056253.61,119.97786,-0.5,24.996,19.721,-0.190741752091
1518056254.61,119.97786,-0.5,24.997,19.721,-0.189700230337
1518056255.62,119.97791,-0.08,24.997,19.731,-0.188664275715
1518056256.62,119.97791,-0.08,25.0,19.753,-0.187633888226
1518056257.62,119.97791,-0.08,25.001,19.731,-0.186609067868
1518056258.62,119.97791,-0.08,25.005,19.721,-0.185589814642
1518056259.62,119.97788,-0.33,25.001,19.721,-0.184576128548
1518056260.62,119.97788,-0.33,25.002,19.742,-0.183568009586
1518056261.62,119.97788,-0.33,24.996,19.721,-0.182565457756
1518056262.62,119.97798,0.5,24.998,19.753,-0.181568473058
1518056263.62,119.97798,0.5,24.997,19.731,-0.180577055492
1518056264.62,119.97798,0.5,24.999,19.742,-0.179591205058
1518056265.62,119.97793,0.08,24.998,19.721,-0.178610921756
1518056266.62,119.97793,0.08,25.001,19.731,-0.177636205586
1518056267.62,119.97793,0.08,25.0,19.742,-0.176667056548
1518056268.62,119.97793,0.08,25.003,19.753,-0.175703474641
1518056269.62,119.97773,-1.58,25.0,19.742,-0.174745459867
1518056270.62,119.97773,-1.58,25.002,19.742,-0.173793012225
1518056271.62,119.97773,-1.58,24.997,19.742,-0.172846131714
1518056272.62,119.97788,-0.33,24.999,19.742,-0.171904818336
1518056273.62,119.97788,-0.33,24.997,19.753,-0.170969072089
1518056274.62,119.97788,-0.33,25.0,19.731,-0.170038892975
1518056275.62,119.97783,-0.75,24.998,19.731,-0.169114280992
1518056276.62,119.97783,-0.75,25.0,19.742,-0.168195236142
1518056277.62,119.97783,-0.75,24.999,19.742,-0.167281758423
1518056278.62,119.97783,-0.75,25.001,19.731,-0.166373847837
1518056279.62,119.97806,1.17,24.998,19.731,-0.165471504382
1518056280.62,119.97806,1.17,24.998,19.731,-0.164574728059
1518056281.62,119.97806,1.17,24.995,19.742,-0.163683518868
1518056282.62,119.97796,0.33,24.996,19.753,-0.16279787681
1518056283.62,119.97796,0.33,24.995,19.753,-0.161917801883
1518056284.62,119.97796,0.33,24.998,19.742,-0.161043294088
1518056285.62,119.97791,-0.08,24.998,19.742,-0.160174353425
1518056286.62,119.97791,-0.08,25.004,19.753,-0.159310979894
1518056287.62,119.97791,-0.08,25.003,19.731,-0.158453173495
1518056288.62,119.97791,-0.08,25.004,19.753,-0.157600934228
1518056289.62,119.97792,0.0,24.999,19.753,-0.156754262093
1518056290.62,119.97792,0.0,24.998,19.731,-0.15591315709
1518056291.62,119.97792,0.0,24.993,19.742,-0.155077619219
1518056292.62,119.97789,-0.25,24.995,19.742,-0.154247648479
1518056293.62,119.97789,-0.25,24.994,19.742,-0.158953408823
1518056294.62,119.97789,-0.25,25.0,19.721,-0.157664628232
1518056295.62,119.97801,0.75,24.999,19.721,-0.155679041073
1518056296.62,119.97801,0.75,25.002,19.731,-0.152997431694
1518056297.62,119.97801,0.75,24.999,19.721,-0.149620584444
1518056298.62,119.97801,0.75,24.999,19.742,-0.144080224916
1518056299.63,119.97791,-0.08,24.995,19.731,-0.138285562147
1518056300.62,119.97791,-0.08,24.995,19.731,-0.132235898938
1518056301.62,119.97791,-0.08,24.993,19.731,-0.134998374655
1518056302.62,119.97788,-0.33,24.998,19.731,-0.139150062443
1518056303.62,119.97788,-0.33,24.998,19.721,-0.144697498538
1518056304.63,119.97788,-0.33,25.004,19.721,-0.146788903036
