Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518254128.98,1000.0796,0.02,25.002,21.812,-0.00767309782052
1518254129.98,1000.0796,0.02,25.005,21.812,-0.01000918541
1518254130.98,1000.0796,0.02,25.003,21.791,-0.0123212100104
1518254131.98,1000.0796,0.02,25.006,21.812,-0.0146091716219
1518254132.98,1000.0796,0.02,25.002,21.78,-0.0168730702445
1518254133.98,1000.0794,-0.18,25.003,21.791,-0.019112905878
1518254134.98,1000.0794,-0.18,25.0,21.791,-0.0213286785226
1518254135.99,1000.0794,-0.18,25.002,21.801,-0.0235203881782
1518254136.98,1000.0794,-0.18,25.001,21.791,-0.0256880348449
1518254137.98,1000.0794,-0.18,25.005,21.801,-0.0278316185226
1518254138.98,1000.0794,-0.18,25.005,21.78,-0.0299511392113
1518254139.98,1000.0794,-0.18,25.009,21.78,-0.032046596911
1518254140.98,1000.0796,0.02,25.008,21.801,-0.0341179916218
1518254141.98,1000.0796,0.02,25.008,21.812,-0.0361653233436
1518254142.99,1000.0796,0.02,25.001,21.791,-0.0381885920764
1518254143.99,1000.0796,0.02,25.0,21.791,-0.0401877978203
1518254144.99,1000.0796,0.02,24.996,21.791,-0.0421629405751
1518254145.98,1000.0796,0.02,24.999,21.791,-0.044114020341
1518254146.98,1000.0796,0.02,25.0,21.791,-0.046041037118
1518254147.98,1000.0796,0.02,25.006,21.812,-0.047943990906
1518254148.99,1000.0796,0.02,25.007,21.801,-0.049822881705
1518254149.99,1000.0796,0.02,25.011,21.823,-0.051677709515
1518254150.99,1000.0795,-0.08,25.006,21.812,-0.053508474336
1518254151.99,1000.0795,-0.08,25.004,21.823,-0.0553151761681
1518254152.99,1000.0795,-0.08,24.997,21.812,-0.0570978150112
1518254153.99,1000.0795,-0.08,24.997,21.801,-0.0588563908654
1518254154.99,1000.0795,-0.08,24.996,21.791,-0.0605909037306
1518254155.99,1000.0795,-0.08,25.001,21.791,-0.0623013536068
1518254156.99,1000.0795,-0.08,25.0,21.801,-0.063987740494
1518254157.99,1000.0795,-0.08,25.005,21.823,-0.0656500643923
1518254158.99,1000.0795,-0.08,25.002,21.801,-0.0672883253016
1518254159.99,1000.0795,-0.08,25.006,21.812,-0.0689025232219
1518254160.99,1000.0794,-0.18,25.003,21.812,-0.0704926581532
1518254161.99,1000.0794,-0.18,25.003,21.801,-0.0720587300956
1518254162.99,1000.0794,-0.18,24.998,21.812,-0.073600739049
1518254163.99,1000.0795,-0.08,25.0,21.812,-0.0751186850135
1518254164.99,1000.0795,-0.08,24.997,21.812,-0.0766125679889
1518254165.99,1000.0795,-0.08,25.002,21.801,-0.0780823879754
1518254166.99,1000.0797,0.12,25.002,21.812,-0.0795281449729
1518254167.99,1000.0797,0.12,25.006,21.801,-0.0809498389815
1518254168.99,1000.0797,0.12,25.001,21.801,-0.0823474700011
1518254169.99,1000.0797,0.12,25.003,21.812,-0.0837210380317
1518254170.99,1000.0795,-0.08,24.999,21.801,-0.0850705430733
1518254171.99,1000.0795,-0.08,25.001,21.791,-0.086395985126
1518254172.99,1000.0795,-0.08,24.998,21.801,-0.0876973641897
1518254173.99,1000.0795,-0.08,25.0,21.801,-0.0889746802644
1518254174.99,1000.0795,-0.08,24.999,21.812,-0.0902279333502
1518254175.99,1000.0795,-0.08,25.003,21.812,-0.091457123447
1518254176.99,1000.0795,-0.08,25.004,21.812,-0.0926622505548
1518254177.99,1000.0795,-0.08,25.007,21.78,-0.0938433146736
1518254178.99,1000.0795,-0.08,25.004,21.801,-0.0950003158035
1518254179.99,1000.0795,-0.08,25.002,21.801,-0.0961332539444
1518254180.99,1000.0794,-0.18,24.998,21.801,-0.0972421290963
1518254181.99,1000.0794,-0.18,24.999,21.801,-0.0983269412593
1518254182.99,1000.0794,-0.18,24.996,21.791,-0.0993876904333
1518254183.99,1000.0795,-0.08,25.0,21.78,-0.100424376618
1518254184.99,1000.0795,-0.08,25.0,21.78,-0.101436999814
1518254185.99,1000.0795,-0.08,25.004,21.78,-0.102425560021
1518254186.99,1000.0795,-0.08,25.004,21.78,-0.10339005724
1518254187.99,1000.0796,0.02,25.005,21.801,-0.104330491469
1518254188.99,1000.0796,0.02,25.001,21.791,-0.105246862709
1518254190.0,1000.0796,0.02,25.001,21.812,-0.10613917096
1518254191.0,1000.0793,-0.28,24.996,21.791,-0.107007416222
1518254192.0,1000.0793,-0.28,24.996,21.801,-0.107851598496
1518254192.99,1000.0793,-0.28,24.994,21.78,-0.10867171778
1518254193.99,1000.0796,0.02,24.997,21.78,-0.109467774075
1518254194.99,1000.0796,0.02,24.998,21.791,-0.110239767381
1518254195.99,1000.0796,0.02,25.003,21.78,-0.110987697699
1518254197.0,1000.0796,0.02,25.003,21.801,-0.111711565027
1518254198.0,1000.0797,0.12,25.004,21.78,-0.112411369367
1518254199.0,1000.0797,0.12,25.0,21.78,-0.113087110717
1518254200.0,1000.0797,0.12,25.0,21.78,-0.113738789079
1518254200.99,1000.0797,0.12,24.996,21.78,-0.114366404451
1518254202.0,1000.0797,0.12,24.998,21.769,-0.114969956835
1518254203.0,1000.0797,0.12,24.996,21.78,-0.115549446229
1518254204.0,1000.0794,-0.18,24.998,21.769,-0.116104872635
1518254205.0,1000.0794,-0.18,24.997,21.791,-0.116428111402
1518254206.0,1000.0794,-0.18,25.0,21.78,-0.116667250571
1518254207.0,1000.0794,-0.18,24.997,21.78,-0.116821418643
1518254208.0,1000.0795,-0.08,25.0,21.78,-0.116889744119
1518254209.0,1000.0795,-0.08,24.997,21.78,-0.116871355503
1518254210.0,1000.0795,-0.08,25.0,21.78,-0.11881880589
1518254211.0,1000.0795,-0.08,24.997,21.769,-0.120811138447
1518254212.0,1000.0795,-0.08,25.0,21.758,-0.122849224671
1518254213.0,1000.0795,-0.08,24.998,21.758,-0.123973021895
1518254214.0,1000.0793,-0.28,25.0,21.769,-0.125209242415
1518254215.0,1000.0793,-0.28,24.998,21.78,-0.126557886233
1518254216.0,1000.0793,-0.28,25.0,21.78,-0.127058039181
1518254217.0,1000.0793,-0.28,24.998,21.78,-0.125682117462
1518254218.0,1000.0795,-0.08,25.0,21.78,-0.124349334916
1518254219.0,1000.0795,-0.08,24.998,21.758,-0.123057077047
1518254220.0,1000.0795,-0.08,25.002,21.78,-0.122763643526
1518254221.0,1000.0794,-0.18,25.0,21.791,-0.122440579058
1518254222.0,1000.0794,-0.18,25.002,21.78,-0.122086140648
1518254223.0,1000.0794,-0.18,24.999,21.769,-0.122659499464
1518254224.0,1000.0795,-0.08,25.0,21.748,-0.12313307171
1518254225.0,1000.0795,-0.08,24.998,21.78,-0.123505985887
1518254226.0,1000.0795,-0.08,25.002,21.769,-0.123777370498
1518254227.0,1000.0795,-0.08,25.0,21.78,-0.124973066341
1518254228.0,1000.0793,-0.28,25.004,21.791,-0.126132159251
1518254229.0,1000.0793,-0.28,25.001,21.769,-0.127254649226
1518254230.0,1000.0793,-0.28,25.004,21.78,-0.126418707934
1518254231.0,1000.0793,-0.28,25.0,21.758,-0.125676016973
1518254232.0,1000.0793,-0.28,25.001,21.769,-0.125024833348
1518254233.0,1000.0793,-0.28,24.998,21.758,-0.12446341406
1518254234.0,1000.0794,-0.18,25.002,21.769,-0.123990016114
1518254235.0,1000.0794,-0.18,24.999,21.769,-0.123602896512
1518254236.0,1000.0794,-0.18,25.003,21.78,-0.123300312258
1518254237.0,1000.0794,-0.18,25.0,21.758,-0.12506814682
1518254238.01,1000.0793,-0.28,25.005,21.758,-0.126918773732
1518254239.01,1000.0793,-0.28,25.003,21.78,-0.128852192995
1518254240.0,1000.0793,-0.28,25.006,21.758,-0.130802606478
1518254241.0,1000.0795,-0.08,25.002,21.748,-0.132704216048
1518254242.0,1000.0795,-0.08,25.003,21.758,-0.134557021706
1518254243.0,1000.0795,-0.08,24.998,21.758,-0.134307598856
1518254244.0,1000.0795,-0.08,25.0,21.78,-0.133876032835
1518254245.01,1000.0793,-0.28,24.997,21.758,-0.133260580645
1518254246.01,1000.0793,-0.28,25.0,21.748,-0.132459499289
1518254247.01,1000.0793,-0.28,24.998,21.748,-0.132563556202
1518254248.01,1000.0794,-0.18,25.002,21.737,-0.132676763848
1518254249.0,1000.0794,-0.18,24.999,21.769,-0.132798250728
1518254250.01,1000.0794,-0.18,25.0,21.78,-0.133888059513
1518254251.01,1000.0794,-0.18,24.997,21.758,-0.134919477903
1518254252.01,1000.0794,-0.18,25.0,21.748,-0.135892505898
1518254253.01,1000.0794,-0.18,24.999,21.758,-0.136807143498
1518254254.01,1000.0794,-0.18,25.001,21.737,-0.137663390704
1518254255.01,1000.0795,-0.08,25.0,21.758,-0.138461247515
1518254256.01,1000.0795,-0.08,25.003,21.78,-0.139200713932
1518254257.01,1000.0795,-0.08,25.0,21.748,-0.139947588085
1518254258.01,1000.0795,-0.08,25.002,21.769,-0.140767668106
1518254259.01,1000.0795,-0.08,24.999,21.78,-0.141660953995
1518254260.01,1000.0795,-0.08,25.001,21.78,-0.141600733453
1518254261.01,1000.0796,0.02,24.998,21.758,-0.14154704915
1518254262.01,1000.0796,0.02,25.002,21.748,-0.141499029587
1518254263.01,1000.0796,0.02,24.999,21.748,-0.141455803265
1518254264.01,1000.0796,0.02,25.001,21.758,-0.140389786387
1518254265.01,1000.0795,-0.08,24.999,21.737,-0.139260150124
1518254266.01,1000.0795,-0.08,25.003,21.758,-0.13806515148
1518254267.01,1000.0795,-0.08,25.001,21.748,-0.139883184351
1518254268.01,1000.0795,-0.08,25.003,21.737,-0.141832377735
1518254269.01,1000.0795,-0.08,24.999,21.748,-0.143913603132
1518254270.01,1000.0795,-0.08,25.0,21.737,-0.143047595144
1518254271.01,1000.0795,-0.08,24.998,21.737,-0.142115353275
1518254272.01,1000.0795,-0.08,25.003,21.769,-0.141115134529
1518254273.01,1000.0795,-0.08,25.002,21.748,-0.141006110076
1518254274.01,1000.0795,-0.08,25.006,21.758,-0.13973398382
1518254275.01,1000.0796,0.02,25.003,21.737,-0.138257926932
1518254276.01,1000.0796,0.02,25.005,21.748,-0.136576196415
