ambient_c,ambient_rh,crc16
1520224892.47,21.405,76.726,1229
1520224894.08,21.409,76.711,262a
1520224895.69,21.403,76.709,056f
1520224897.30,21.405,76.705,4428
1520224898.91,21.398,76.707,ec28
1520224900.52,21.406,76.703,ec9b
1520224902.13,21.403,76.705,c4e3
1520224903.74,21.403,76.702,b404
1520224905.35,21.406,76.701,ccd9
1520224906.96,21.406,76.693,6133
1520224908.57,21.406,76.691,4171
1520224910.18,21.405,76.684,ea90
1520224911.79,21.403,76.689,bbf6
1520224913.40,21.407,76.683,15d1
1520224915.01,21.409,76.680,bba3
1520224916.63,21.402,76.678,fc3a
1520224918.24,21.406,76.673,423c
1520224919.85,21.413,76.676,b104
1520224921.46,21.405,76.676,daec
1520224923.07,21.413,76.677,a125
1520224924.68,21.407,76.673,05ef
1520224926.29,21.418,76.679,9644
1520224927.90,21.411,76.679,cf4d
1520224929.51,21.419,76.682,70c2
1520224931.12,21.417,76.692,dde2
1520224932.73,21.426,76.696,f7f1
1520224934.34,21.427,76.694,9060
1520224935.95,21.431,76.702,16e6
1520224937.56,21.426,76.703,2afc
1520224939.17,21.434,76.706,1edc
1520224940.79,21.439,76.708,a976
1520224942.40,21.437,76.716,e598
1520224944.01,21.442,76.706,2fbc
1520224945.62,21.446,76.711,6307
1520224947.23,21.445,76.701,9843
1520224948.84,21.439,76.688,17ef
1520224950.45,21.443,76.683,8653
1520224952.06,21.442,76.678,60d5
1520224953.67,21.443,76.673,966d
1520224955.28,21.446,76.671,fe91
1520224956.89,21.443,76.666,f5f9
1520224958.50,21.447,76.658,4e09
1520224960.11,21.439,76.657,905c
1520224961.72,21.446,76.652,a890
1520224963.33,21.443,76.658,4164
1520224964.95,21.442,76.653,b7dc
1520224966.56,21.435,76.657,81eb
1520224968.17,21.439,76.652,c0f9
1520224969.78,21.438,76.648,1551
1520224971.39,21.438,76.644,d4dd
1520224973.00,21.441,76.634,a5e8
1520224974.93,21.437,76.632,f44e
1520224976.22,21.434,76.629,be61
1520224977.83,21.435,76.623,58f8
1520224979.44,21.433,76.628,6958
1520224981.05,21.435,76.619,ace1
1520224982.66,21.438,76.612,4bee
1520224984.27,21.429,76.603,c40e
1520224985.88,21.435,76.603,3e9a
1520224987.49,21.427,76.597,f953
1520224989.11,21.438,76.598,3a5d
1520224990.72,21.435,76.586,bec6
1520224992.33,21.434,76.581,89f2
1520224993.94,21.431,76.565,a2c7
1520224995.55,21.433,76.556,4851
1520224997.16,21.425,76.550,437f
1520224998.77,21.418,76.537,e21e
1520225000.38,21.413,76.533,7435
1520225001.99,21.414,76.521,a05e
1520225003.60,21.418,76.514,b41f
1520225005.21,21.418,76.511,e4ba
1520225006.82,21.414,76.501,c63c
1520225008.44,21.405,76.489,555d
1520225010.04,21.403,76.477,2466
1520225011.65,21.403,76.456,5225
1520225013.26,21.398,76.421,b3dc
1520225014.88,21.396,76.393,54e5
1520225016.49,21.384,76.362,307f
1520225018.10,21.384,76.327,ac1e
1520225019.71,21.376,76.302,8d2b
1520225021.32,21.372,76.271,1c82
1520225022.93,21.368,76.241,338e
1520225024.54,21.368,76.213,ec39
1520225026.15,21.364,76.183,1e46
1520225027.76,21.356,76.151,eaba
1520225029.37,21.355,76.129,3a50
1520225030.98,21.346,76.104,aec9
1520225032.59,21.342,76.086,3f7f
1520225034.20,21.340,76.072,e063
1520225035.81,21.332,76.048,2a77
1520225037.42,21.332,76.042,8b3d
1520225039.04,21.325,76.030,1ed3
1520225040.65,21.325,76.013,48d2
1520225042.26,21.316,76.000,aeb1
1520225043.87,21.309,75.987,155d
1520225045.48,21.309,75.985,351f
1520225047.09,21.304,75.975,7345
1520225048.70,21.288,75.961,57fd
1520225050.31,21.280,75.944,7fe0
1520225051.92,21.269,75.931,9cac
1520225053.53,21.274,75.919,c681
1520225055.14,21.270,75.912,7887
1520225056.75,21.264,75.896,62d4
1520225058.36,21.262,75.883,818b
1520225059.97,21.258,75.865,7e7a
1520225061.58,21.246,75.854,4e3a
