isothermal_c,isothermal_rh,crc16
1520224891.48,22.391,70.388,d9bd
1520224892.09,22.398,70.375,4127
1520224892.69,22.398,70.388,80b4
1520224893.30,22.381,70.385,e333
1520224893.90,22.402,70.391,6df6
1520224894.50,22.409,70.365,ebe3
1520224895.11,22.402,70.385,1e43
1520224895.71,22.391,70.370,488b
1520224896.32,22.398,70.388,80b4
1520224896.92,22.402,70.378,dfd0
1520224897.53,22.409,70.380,9849
1520224898.13,22.391,70.373,78e8
1520224898.73,22.391,70.388,d9bd
1520224899.34,22.406,70.383,71e8
1520224899.94,22.398,70.375,4127
1520224900.55,22.402,70.380,4ee6
1520224901.15,22.391,70.383,68d6
1520224901.75,22.402,70.391,6df6
1520224902.36,22.402,70.375,0e7d
1520224902.96,22.395,70.385,077d
1520224903.56,22.402,70.388,cfee
1520224904.17,22.406,70.391,629b
1520224904.77,22.398,70.391,22ac
1520224905.38,22.413,70.385,b2b3
1520224905.98,22.409,70.391,bb59
1520224906.59,22.413,70.391,c106
1520224907.19,22.398,70.380,01bc
1520224907.80,22.406,70.396,127c
1520224908.40,22.388,70.383,dafc
1520224909.00,22.398,70.378,908a
1520224909.61,22.409,70.383,a82a
1520224910.21,22.402,70.378,dfd0
1520224910.81,22.402,70.393,4db4
1520224911.42,22.409,70.393,9b1b
1520224912.30,22.398,70.393,02ee
1520224912.63,22.413,70.383,d275
1520224913.23,22.406,70.396,127c
1520224913.83,22.402,70.388,cfee
1520224914.44,22.402,70.393,4db4
1520224915.04,22.402,70.391,6df6
1520224915.65,22.402,70.393,4db4
1520224916.25,22.416,70.396,f95f
1520224916.86,22.406,70.391,629b
1520224917.46,22.406,70.403,7dd1
1520224918.07,22.402,70.406,2219
1520224918.67,22.406,70.391,629b
1520224919.27,22.406,70.398,f3b2
1520224919.88,22.398,70.391,22ac
1520224920.48,22.406,70.403,7dd1
1520224921.08,22.409,70.398,2a70
1520224921.69,22.420,70.408,8a16
1520224922.29,22.402,70.413,418d
1520224922.89,22.420,70.411,280e
1520224923.50,22.416,70.413,a5c3
1520224924.10,22.423,70.426,c5cf
1520224924.71,22.431,70.429,50a5
1520224925.31,22.441,70.439,d23f
1520224925.92,22.445,70.441,c5cd
1520224926.52,22.445,70.452,c69f
1520224927.13,22.445,70.472,a0fd
1520224927.73,22.463,70.472,e651
1520224928.33,22.470,70.485,a5de
1520224928.94,22.473,70.500,8397
