Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1520690499.12,1999.8472,0.19,24.978,21.533,0.112459318339
1520690500.12,1999.8464,-0.21,24.978,21.522,0.106388760175
1520690501.12,1999.8464,-0.21,24.98,21.512,0.100386840998
1520690502.12,1999.8464,-0.21,24.998,21.522,0.0944535608073
1520690503.13,1999.8464,-0.21,25.022,21.533,0.0885889196039
1520690504.13,1999.8482,0.69,25.04,21.501,0.0827929173873
1520690505.13,1999.8482,0.69,25.03,21.512,0.0770655541576
1520690506.13,1999.8482,0.69,25.001,21.522,0.0714068299148
1520690507.12,1999.8467,-0.06,24.979,21.501,0.0658167446589
1520690508.12,1999.8467,-0.06,24.978,21.533,0.0602952983898
1520690509.13,1999.8467,-0.06,24.978,21.522,0.0548424911076
1520690510.13,1999.8474,0.29,24.981,21.522,0.0494583228123
1520690511.13,1999.8474,0.29,24.992,21.522,0.0441427935038
1520690512.13,1999.8474,0.29,25.025,21.512,0.0388959031822
1520690513.13,1999.8474,0.29,25.038,21.512,0.0337176518475
1520690514.13,1999.8482,0.69,25.036,21.533,0.0286080394996
1520690515.13,1999.8482,0.69,24.998,21.512,0.0235670661386
1520690516.13,1999.8482,0.69,24.979,21.501,0.0185947317645
1520690517.13,1999.8474,0.29,24.978,21.522,0.0136910363772
1520690518.13,1999.8474,0.29,24.978,21.501,0.00885597997682
1520690519.13,1999.8474,0.29,24.979,21.522,0.00408956256329
1520690520.13,1999.8467,-0.06,24.987,21.512,-0.000608215863372
1520690521.13,1999.8467,-0.06,25.007,21.522,-0.00523735530317
1520690522.13,1999.8467,-0.06,25.034,21.533,-0.00979785575609
1520690523.13,1999.8467,-0.06,25.036,21.522,-0.0142897172222
1520690524.13,1999.8464,-0.21,25.02,21.512,-0.0187129397013
1520690525.13,1999.8464,-0.21,24.984,21.501,-0.0230675231937
1520690526.13,1999.8464,-0.21,24.978,21.512,-0.0273534676991
1520690527.13,1999.8474,0.29,24.978,21.512,-0.0315707732177
1520690528.13,1999.8474,0.29,24.979,21.522,-0.0357194397494
1520690529.13,1999.8474,0.29,24.982,21.512,-0.0397994672943
1520690530.13,1999.8456,-0.61,25.005,21.512,-0.0438108558523
1520690531.13,1999.8456,-0.61,25.027,21.501,-0.0477536054234
1520690532.13,1999.8456,-0.61,25.039,21.512,-0.0516277160077
1520690533.13,1999.8456,-0.61,25.02,21.512,-0.055433187605
1520690534.13,1999.8449,-0.96,24.988,21.512,-0.0591700202156
1520690535.13,1999.8449,-0.96,24.978,21.512,-0.0628382138392
1520690536.13,1999.8449,-0.96,24.978,21.501,-0.066437768476
1520690537.13,1999.8462,-0.31,24.978,21.512,-0.0699686841259
1520690538.13,1999.8462,-0.31,24.984,21.533,-0.0734309607889
1520690539.13,1999.8462,-0.31,25.001,21.512,-0.0768245984651
1520690540.13,1999.8451,-0.86,25.028,21.522,-0.0801495971544
1520690541.13,1999.8451,-0.86,25.034,21.501,-0.0834059568569
1520690542.13,1999.8451,-0.86,25.023,21.512,-0.0865936775725
1520690543.13,1999.8451,-0.86,24.987,21.512,-0.0897127593012
1520690544.13,1999.8469,0.04,24.979,21.501,-0.092763202043
1520690545.13,1999.8469,0.04,24.978,21.512,-0.095745005798
1520690546.13,1999.8469,0.04,24.979,21.512,-0.0986581705661
1520690547.13,1999.8459,-0.46,24.985,21.512,-0.101502696347
1520690548.13,1999.8459,-0.46,25.013,21.501,-0.104278583142
1520690549.13,1999.8459,-0.46,25.031,21.512,-0.106985830949
1520690550.13,1999.8456,-0.61,25.037,21.522,-0.10962443977
1520690551.14,1999.8456,-0.61,25.012,21.533,-0.112194409604
1520690552.14,1999.8456,-0.61,24.984,21.522,-0.114695740451
1520690553.13,1999.8456,-0.61,24.978,21.522,-0.117128432311
1520690554.13,1999.8477,0.44,24.978,21.533,-0.119492485184
1520690555.13,1999.8477,0.44,24.979,21.501,-0.12178789907
1520690556.13,1999.8477,0.44,24.986,21.501,-0.124014673969
1520690557.14,1999.8479,0.54,25.006,21.522,-0.126172809882
1520690558.14,1999.8479,0.54,25.032,21.501,-0.128262306808
