Timestamp,Resistance,PPM,Oven (C),Ambient (C)
1520901109.51,999.56989,-0.00,24.999,22.305
1520901110.51,999.56989,-0.00,24.999,22.305
1520901111.51,999.56989,-0.00,24.998,22.316
1520901112.51,999.56978,-0.11,25.0,22.284
1520901113.51,999.56978,-0.11,24.999,22.305
1520901114.51,999.56978,-0.11,24.999,22.295
1520901115.51,999.56973,-0.16,24.999,22.284
1520901116.51,999.56973,-0.16,25.0,22.316
1520901117.51,999.56973,-0.16,25.0,22.295
1520901118.51,999.56973,-0.16,25.001,22.316
1520901119.51,999.5698,-0.09,25.0,22.316
1520901120.51,999.5698,-0.09,25.0,22.305
1520901121.51,999.5698,-0.09,25.0,22.295
1520901122.51,999.56977,-0.12,25.001,22.316
1520901123.51,999.56977,-0.12,25.0,22.316
1520901124.51,999.56977,-0.12,25.001,22.316
1520901125.51,999.56987,-0.02,25.0,22.316
1520901126.51,999.56987,-0.02,25.0,22.327
1520901127.51,999.56987,-0.02,25.0,22.327
1520901128.51,999.56987,-0.02,25.001,22.316
1520901129.51,999.5701,0.21,25.0,22.305
1520901130.51,999.5701,0.21,25.0,22.316
1520901131.51,999.5701,0.21,25.0,22.316
1520901132.51,999.56997,0.08,25.0,22.348
1520901133.51,999.56997,0.08,25.0,22.327
1520901134.51,999.56997,0.08,25.001,22.327
1520901135.51,999.56993,0.04,25.001,22.327
1520901136.51,999.56993,0.04,25.002,22.327
1520901137.51,999.56993,0.04,25.001,22.305
1520901138.51,999.56993,0.04,25.002,22.327
1520901139.51,999.56969,-0.20,25.002,22.327
1520901140.52,999.56969,-0.20,25.002,22.327
1520901141.52,999.56969,-0.20,25.002,22.327
1520901142.51,999.56982,-0.07,25.003,22.338
1520901143.51,999.56982,-0.07,25.003,22.338
1520901144.51,999.56982,-0.07,25.003,22.338
1520901145.51,999.56985,-0.04,25.003,22.348
1520901146.52,999.56985,-0.04,25.004,22.348
1520901147.52,999.56985,-0.04,25.002,22.327
1520901148.52,999.56985,-0.04,25.001,22.348
1520901149.52,999.5698,-0.09,24.999,22.348
1520901150.52,999.5698,-0.09,24.999,22.348
1520901151.51,999.5698,-0.09,24.999,22.348
1520901152.51,999.56993,0.04,24.999,22.327
1520901153.52,999.56993,0.04,25.0,22.327
1520901154.52,999.56993,0.04,25.002,22.348
1520901155.52,999.56989,-0.00,25.001,22.348
1520901156.52,999.56989,-0.00,25.002,22.37
1520901157.52,999.56989,-0.00,25.003,22.348
1520901158.52,999.56989,-0.00,25.003,22.338
1520901159.52,999.56982,-0.07,25.004,22.348
1520901160.52,999.56982,-0.07,25.004,22.348
1520901161.52,999.56982,-0.07,25.002,22.338
