timestamp,inside_c,inside_rh,outside_c,outside_rh,set_c,err_c,duty_cycle
1522419220.74,25.174,55.492,22.069,64.580,25.000,0.174,0.00
1522419222.78,25.182,55.490,22.027,64.526,25.000,0.182,8.66
1522419224.82,25.189,55.498,22.005,64.496,25.000,0.189,9.21
1522419226.86,25.190,55.497,22.016,64.511,25.000,0.190,9.72
1522419228.89,25.187,55.497,22.005,64.511,25.000,0.187,9.93
1522419230.93,25.193,55.502,22.037,64.496,25.000,0.193,9.90
1522419232.98,25.196,55.506,22.005,64.511,25.000,0.196,10.35
1522419235.01,25.200,55.508,22.016,64.511,25.000,0.200,10.68
1522419237.06,25.207,55.521,22.027,64.518,25.000,0.207,11.01
1522419239.09,25.206,55.529,22.016,64.511,25.000,0.206,11.53
1522419241.13,25.206,55.524,22.016,64.518,25.000,0.206,11.64
1522419243.17,25.204,55.526,22.016,64.511,25.000,0.204,11.80
1522419245.21,25.208,55.529,22.005,64.496,25.000,0.208,11.85
1522419247.25,25.210,55.529,22.005,64.518,25.000,0.210,12.25
1522419249.29,25.214,55.530,22.037,64.511,25.000,0.214,12.47
1522419251.33,25.214,55.531,22.016,64.518,25.000,0.214,12.88
1522419253.37,25.220,55.538,22.037,64.526,25.000,0.220,13.05
1522419255.41,25.212,55.540,22.005,64.511,25.000,0.212,13.52
1522419257.45,25.217,55.547,22.005,64.526,25.000,0.217,13.28
1522419259.49,25.216,55.565,22.016,64.526,25.000,0.216,13.69
1522419261.53,25.220,55.570,22.016,64.534,25.000,0.220,13.80
1522419263.57,25.218,55.572,22.005,64.518,25.000,0.218,14.21
1522419265.61,25.224,55.575,22.005,64.511,25.000,0.224,14.27
1522419267.65,25.217,55.578,22.005,64.526,25.000,0.217,14.74
1522419269.69,25.223,55.580,22.027,64.549,25.000,0.223,14.56
1522419271.73,25.227,55.583,22.027,64.557,25.000,0.227,15.03
1522419273.77,25.221,55.581,22.005,64.549,25.000,0.221,15.45
1522419275.81,25.230,55.584,22.005,64.557,25.000,0.230,15.33
1522419277.85,25.236,55.584,22.027,64.557,25.000,0.236,15.93
1522419279.89,25.232,55.583,21.994,64.564,25.000,0.232,16.41
1522419281.93,25.239,55.580,22.016,64.564,25.000,0.239,16.42
1522419283.97,25.236,55.577,22.005,64.564,25.000,0.236,16.96
1522419286.00,25.239,55.577,22.027,64.564,25.000,0.239,16.97
1522419288.04,25.235,55.589,22.016,64.549,25.000,0.235,17.34
1522419290.08,25.231,55.586,22.027,64.541,25.000,0.231,17.29
1522419292.12,25.235,55.572,22.016,64.511,25.000,0.235,17.30
1522419294.16,25.233,55.570,22.016,64.518,25.000,0.233,17.67
1522419296.20,25.241,55.569,22.048,64.526,25.000,0.241,17.79
1522419298.24,25.243,55.571,22.037,64.503,25.000,0.243,18.34
1522419300.28,25.241,55.568,22.027,64.518,25.000,0.241,18.65
1522419302.32,25.243,55.571,22.027,64.511,25.000,0.243,18.72
1522419304.36,25.236,55.566,22.027,64.518,25.000,0.236,19.03
1522419306.40,25.237,55.561,22.048,64.526,25.000,0.237,18.87
1522419308.44,25.241,55.549,22.037,64.503,25.000,0.241,19.12
1522419310.48,25.241,55.536,22.048,64.503,25.000,0.241,19.49
1522419312.52,25.238,55.525,22.037,64.526,25.000,0.238,19.68
1522419314.56,25.239,55.525,22.037,64.503,25.000,0.239,19.75
1522419316.60,25.246,55.524,22.048,64.518,25.000,0.246,20.00
1522419318.64,25.246,55.531,22.037,64.534,25.000,0.246,20.55
1522419320.68,25.246,55.536,22.016,64.526,25.000,0.246,20.75
1522419322.72,25.249,55.517,22.027,64.526,25.000,0.249,20.95
1522419324.76,25.243,55.512,22.037,64.526,25.000,0.243,21.26
1522419326.80,25.243,55.499,22.048,64.518,25.000,0.243,21.16
1522419328.84,25.246,55.489,22.027,64.503,25.000,0.246,21.36
1522419330.88,25.242,55.478,22.037,64.503,25.000,0.242,21.73
1522419332.91,25.248,55.472,22.048,64.473,25.000,0.248,21.69
1522419334.96,25.249,55.477,22.059,64.480,25.000,0.249,22.18
1522419337.00,25.246,55.480,22.059,64.465,25.000,0.246,22.44
1522419339.04,25.246,55.487,22.059,64.457,25.000,0.246,22.52
1522419341.08,25.245,55.484,22.069,64.457,25.000,0.245,22.72
1522419343.12,25.242,55.484,22.069,64.450,25.000,0.242,22.85
1522419345.15,25.243,55.489,22.059,64.419,25.000,0.243,22.87
1522419347.20,25.245,55.481,22.059,64.419,25.000,0.245,23.13
1522419349.24,25.249,55.480,22.069,64.427,25.000,0.249,23.44
1522419351.28,25.241,55.483,22.091,64.404,25.000,0.241,23.81
1522419353.31,25.244,55.476,22.059,64.412,25.000,0.244,23.60
1522419355.35,25.242,55.463,22.080,64.412,25.000,0.242,23.97
1522419357.39,25.251,55.462,22.048,64.412,25.000,0.251,24.04
1522419359.43,25.246,55.462,22.059,64.389,25.000,0.246,24.71
1522419361.47,25.244,55.452,22.059,64.404,25.000,0.244,24.68
1522419363.51,25.246,55.445,22.069,64.412,25.000,0.246,24.75
1522419365.55,25.248,55.438,22.091,64.396,25.000,0.248,25.07
1522419367.59,25.256,55.434,22.091,64.412,25.000,0.256,25.32
1522419369.63,25.258,55.431,22.091,64.404,25.000,0.258,25.94
