timestamp,ambient_c,ambient_rh
1521179089.55,21.902,64.086
1521179091.16,21.893,64.076
1521179092.77,21.888,64.076
1521179094.38,21.880,64.073
1521179095.99,21.870,64.073
1521179097.61,21.864,64.076
1521179099.21,21.854,64.085
1521179100.83,21.844,64.089
1521179102.43,21.824,64.087
1521179104.05,21.825,64.091
1521179105.66,21.819,64.098
1521179107.27,21.811,64.110
1521179108.88,21.804,64.125
1521179110.49,21.800,64.139
1521179112.10,21.792,64.142
1521179113.71,21.779,64.164
1521179115.32,21.779,64.174
1521179116.93,21.773,64.188
1521179118.54,21.760,64.205
1521179120.15,21.750,64.213
1521179121.77,21.741,64.226
1521179123.37,21.734,64.233
1521179124.98,21.736,64.251
1521179126.59,21.721,64.263
1521179128.20,21.722,64.270
1521179129.81,21.718,64.283
1521179131.43,21.706,64.282
1521179133.04,21.701,64.287
1521179134.65,21.689,64.279
1521179136.26,21.671,64.284
1521179137.87,21.663,64.281
1521179139.48,21.657,64.282
1521179141.09,21.665,64.306
1521179142.70,21.653,64.310
1521179144.31,21.639,64.314
1521179145.92,21.636,64.320
1521179147.53,21.624,64.324
1521179149.14,21.630,64.338
1521179150.76,21.615,64.347
1521179152.36,21.611,64.353
1521179153.97,21.600,64.363
1521179155.58,21.584,64.365
1521179157.19,21.581,64.361
1521179158.81,21.575,64.364
1521179160.42,21.573,64.374
1521179162.03,21.557,64.366
1521179163.64,21.551,64.363
1521179165.25,21.541,64.360
1521179166.86,21.537,64.360
1521179168.47,21.539,64.372
1521179170.08,21.525,64.375
1521179171.69,21.521,64.389
1521179173.30,21.517,64.395
1521179174.91,21.513,64.390
1521179176.53,21.497,64.392
1521179178.13,21.494,64.391
1521179179.75,21.481,64.382
1521179181.35,21.473,64.379
1521179182.96,21.465,64.372
1521179184.57,21.461,64.369
1521179186.19,21.455,64.374
1521179187.80,21.445,64.374
1521179189.41,21.438,64.379
1521179191.02,21.421,64.398
1521179192.63,21.415,64.407
1521179194.24,21.410,64.417
1521179195.85,21.406,64.445
1521179197.46,21.405,64.461
