timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521587229.80,24.890,54.867,25.000,-0.110,0.000
1521587230.21,24.890,54.837,25.000,-0.110,0.000
1521587230.61,24.879,54.829,25.000,-0.121,0.000
1521587231.02,24.890,54.844,25.000,-0.110,0.000
1521587231.43,24.890,54.829,25.000,-0.110,0.000
1521587231.84,24.879,54.844,25.000,-0.121,0.000
1521587232.25,24.890,54.837,25.000,-0.110,0.000
1521587232.65,24.901,54.829,25.000,-0.099,0.000
1521587233.06,24.879,54.844,25.000,-0.121,0.000
1521587233.47,24.890,54.852,25.000,-0.110,0.000
1521587233.88,24.890,54.837,25.000,-0.110,0.000
1521587234.28,24.901,54.829,25.000,-0.099,0.000
1521587234.69,24.879,54.814,25.000,-0.121,0.000
1521587235.10,24.901,54.829,25.000,-0.099,0.000
1521587235.51,24.901,54.822,25.000,-0.099,0.000
1521587235.92,24.890,54.829,25.000,-0.110,0.000
1521587236.32,24.922,54.829,25.000,-0.078,0.000
1521587236.73,24.890,54.829,25.000,-0.110,0.000
1521587237.14,24.901,54.822,25.000,-0.099,0.000
1521587237.55,24.890,54.822,25.000,-0.110,0.000
1521587237.96,24.901,54.829,25.000,-0.099,0.000
1521587238.36,24.890,54.829,25.000,-0.110,0.000
1521587238.77,24.901,54.799,25.000,-0.099,0.000
1521587239.18,24.912,54.829,25.000,-0.088,0.000
1521587239.59,24.890,54.806,25.000,-0.110,0.000
1521587240.00,24.912,54.814,25.000,-0.088,0.000
1521587240.40,24.912,54.814,25.000,-0.088,0.000
1521587240.81,24.901,54.822,25.000,-0.099,0.000
1521587241.22,24.922,54.806,25.000,-0.078,0.000
1521587241.63,24.890,54.814,25.000,-0.110,0.000
1521587242.03,24.922,54.814,25.000,-0.078,0.000
1521587242.44,24.901,54.814,25.000,-0.099,0.000
1521587242.85,24.922,54.806,25.000,-0.078,0.000
1521587243.26,24.933,54.814,25.000,-0.067,0.000
1521587243.67,24.933,54.814,25.000,-0.067,0.000
1521587244.07,24.922,54.814,25.000,-0.078,0.000
1521587244.48,24.912,54.814,25.000,-0.088,0.000
1521587244.89,24.912,54.799,25.000,-0.088,0.000
1521587245.30,24.912,54.829,25.000,-0.088,0.000
1521587245.71,24.912,54.799,25.000,-0.088,0.000
1521587246.11,24.922,54.783,25.000,-0.078,0.000
1521587246.52,24.922,54.814,25.000,-0.078,0.000
1521587246.93,24.922,54.799,25.000,-0.078,0.000
1521587247.34,24.912,54.799,25.000,-0.088,0.000
1521587247.75,24.901,54.799,25.000,-0.099,0.000
1521587248.15,24.922,54.799,25.000,-0.078,0.000
1521587248.56,24.933,54.814,25.000,-0.067,0.000
1521587248.97,24.922,54.791,25.000,-0.078,0.000
1521587249.38,24.912,54.791,25.000,-0.088,0.000
1521587249.79,24.922,54.822,25.000,-0.078,0.000
1521587250.19,24.912,54.806,25.000,-0.088,0.000
1521587250.60,24.922,54.822,25.000,-0.078,0.000
1521587251.01,24.922,54.799,25.000,-0.078,0.000
1521587251.42,24.944,54.791,25.000,-0.056,0.000
1521587251.83,24.933,54.791,25.000,-0.067,0.000
1521587252.23,24.922,54.799,25.000,-0.078,0.000
1521587252.64,24.922,54.799,25.000,-0.078,0.000
1521587253.05,24.922,54.799,25.000,-0.078,0.000
1521587253.46,24.922,54.791,25.000,-0.078,0.000
1521587253.86,24.944,54.791,25.000,-0.056,0.000
1521587254.27,24.944,54.799,25.000,-0.056,0.000
1521587254.68,24.922,54.814,25.000,-0.078,0.000
1521587255.09,24.922,54.799,25.000,-0.078,0.000
1521587255.50,24.933,54.791,25.000,-0.067,0.000
1521587255.90,24.933,54.799,25.000,-0.067,0.000
1521587256.31,24.922,54.791,25.000,-0.078,0.000
1521587256.72,24.955,54.806,25.000,-0.045,0.000
1521587257.13,24.922,54.783,25.000,-0.078,0.000
1521587257.54,24.944,54.814,25.000,-0.056,0.000
1521587257.94,24.922,54.799,25.000,-0.078,0.000
1521587258.35,24.933,54.791,25.000,-0.067,0.000
1521587258.76,24.965,54.806,25.000,-0.035,0.000
1521587259.17,24.933,54.791,25.000,-0.067,0.000
1521587259.58,24.944,54.791,25.000,-0.056,0.000
1521587259.98,24.944,54.791,25.000,-0.056,0.000
1521587260.39,24.933,54.783,25.000,-0.067,0.000
1521587260.80,24.944,54.806,25.000,-0.056,0.000
1521587261.21,24.944,54.791,25.000,-0.056,0.000
1521587261.61,24.922,54.776,25.000,-0.078,0.000
1521587262.02,24.933,54.783,25.000,-0.067,0.000
1521587262.43,24.933,54.776,25.000,-0.067,0.000
1521587262.84,24.944,54.783,25.000,-0.056,0.000
1521587263.25,24.955,54.783,25.000,-0.045,0.000
1521587263.65,24.944,54.791,25.000,-0.056,0.000
1521587264.06,24.944,54.783,25.000,-0.056,0.000
1521587264.47,24.955,54.776,25.000,-0.045,0.000
1521587264.88,24.933,54.776,25.000,-0.067,0.000
