timestamp,v,temp_c
1525359386.0,7.04568369,21.711
1525359391.15,7.04568415,21.716
1525359396.3,7.04568359,21.726
1525359401.45,7.04568316,21.731
1525359406.6,7.0456832,21.737
1525359411.74,7.04568273,21.743
1525359416.89,7.04568245,21.746
1525359422.04,7.04568193,21.751
1525359427.19,7.04568323,21.775
1525359432.34,7.04568355,21.78
1525359437.49,7.04568486,21.788
1525359442.63,7.04568289,21.789
1525359447.78,7.04568436,21.801
1525359452.93,7.04568397,21.8
1525359458.08,7.04568321,21.801
1525359463.23,7.0456838,21.798
1525359468.37,7.04568394,21.806
1525359473.52,7.04568338,21.803
1525359478.67,7.04568358,21.807
1525359483.82,7.0456836,21.807
1525359488.97,7.04568664,21.806
1525359494.11,7.04569009,21.812
1525359499.26,7.04568986,21.815
1525359504.41,7.04568916,21.815
1525359509.56,7.04568541,21.814
1525359514.71,7.04568202,21.811
1525359519.85,7.04568047,21.814
1525359525.0,7.04567883,21.812
1525359530.15,7.04567825,21.82
1525359535.3,7.04567832,21.817
1525359540.45,7.04567793,21.817
1525359545.6,7.04567967,21.821
1525359550.74,7.04568089,21.82
1525359555.89,7.04568197,21.817
1525359561.04,7.04568096,21.818
1525359566.19,7.0456824,21.821
1525359571.34,7.04568109,21.818
1525359576.48,7.04568181,21.824
1525359581.63,7.04568303,21.824
1525359586.78,7.04568451,21.824
1525359591.93,7.04568193,21.82
1525359597.08,7.04568028,21.824
1525359602.23,7.04568074,21.821
1525359607.37,7.04568207,21.82
1525359612.52,7.04568307,21.823
1525359617.67,7.04568294,21.83
1525359622.82,7.04568394,21.829
1525359627.97,7.04568263,21.838
1525359633.12,7.04568309,21.837
1525359638.26,7.0456846,21.841
1525359643.41,7.04568397,21.837
1525359648.56,7.04568828,21.849
1525359653.71,7.0456914,21.847
1525359658.86,7.0456884,21.849
1525359664.01,7.04568419,21.852
1525359669.15,7.0456831,21.853
1525359674.3,7.04568285,21.861
1525359679.45,7.04568202,21.858
1525359684.6,7.04568159,21.863
1525359689.75,7.04568244,21.861
1525359694.89,7.04568152,21.861
1525359700.04,7.04568119,21.864
1525359705.19,7.04568208,21.875
1525359710.34,7.04568475,21.876
1525359715.49,7.04568395,21.873
1525359720.63,7.04568336,21.875
1525359725.78,7.04568312,21.87
1525359730.93,7.0456825,21.879
1525359736.08,7.04568176,21.876
1525359741.23,7.04568121,21.866
1525359746.38,7.04568029,21.873
1525359751.53,7.0456797,21.878
1525359756.68,7.04568127,21.883
1525359761.82,7.04568325,21.884
1525359766.97,7.0456831,21.883
1525359772.12,7.04568318,21.887
1525359777.27,7.04568414,21.884
1525359782.41,7.04568386,21.879
1525359787.56,7.04568374,21.887
1525359792.71,7.04568515,21.899
1525359797.86,7.04568493,21.901
1525359803.01,7.04568466,21.899
1525359808.16,7.04568369,21.898
1525359813.31,7.04568177,21.901
1525359818.46,7.04568242,21.896
1525359823.61,7.04568181,21.906
1525359828.75,7.04568207,21.902
1525359833.9,7.04568175,21.91
1525359839.05,7.04568369,21.907
1525359844.2,7.04568399,21.918
1525359849.35,7.04568477,21.907
1525359854.5,7.04568331,21.912
1525359859.65,7.0456828,21.913
1525359864.79,7.04568213,21.919
1525359869.94,7.04568176,21.925
1525359875.09,7.04568025,21.918
1525359880.24,7.04568035,21.921
1525359885.39,7.0456808,21.932
1525359890.54,7.04568056,21.93
1525359895.68,7.04568189,21.929
1525359900.83,7.04568361,21.933
1525359905.98,7.04568372,21.935
1525359911.13,7.04568357,21.932
1525359916.28,7.04568249,21.929
1525359921.43,7.04568239,21.93
1525359926.58,7.04568345,21.936
1525359931.72,7.04568408,21.933
1525359936.87,7.0456827,21.932
1525359942.02,7.04568241,21.941
1525359947.17,7.04568225,21.939
1525359952.32,7.04568242,21.944
1525359957.47,7.04568362,21.939
1525359962.62,7.045684,21.948
1525359967.77,7.0456824,21.944
1525359972.91,7.04568247,21.948
1525359978.06,7.04568156,21.945
1525359983.21,7.04568002,21.947
1525359988.36,7.04568078,21.945
1525359993.51,7.04568138,21.938
1525359998.66,7.04568056,21.953
1525360003.81,7.04568129,21.942
1525360008.95,7.04568033,21.942
1525360014.1,7.04568139,21.948
1525360019.25,7.04568079,21.948
1525360024.4,7.04568166,21.947
1525360029.55,7.04568079,21.952
1525360034.7,7.04567912,21.947
1525360039.84,7.04567713,21.953
1525360044.99,7.04567923,21.953
1525360050.14,7.04568082,21.955
1525360055.29,7.04568036,21.952
1525360060.44,7.04568092,21.953
1525360065.59,7.04568082,21.956
1525360070.74,7.04568193,21.952
1525360075.89,7.04568253,21.962
1525360081.04,7.04568268,21.961
1525360086.19,7.04568196,21.961
1525360091.33,7.04568066,21.959
1525360096.48,7.04568294,21.973
1525360101.63,7.04567999,21.965
1525360106.78,7.04568023,21.965
1525360111.93,7.04568043,21.961
1525360117.08,7.04567953,21.976
1525360122.23,7.04568083,21.968
1525360127.38,7.04568099,21.965
1525360132.53,7.04568146,21.978
1525360137.68,7.04568206,21.973
1525360142.83,7.04568248,21.971
1525360147.97,7.04568183,21.971
1525360153.12,7.0456826,21.97
1525360158.27,7.04568351,21.978
1525360163.42,7.04568227,21.978
1525360168.57,7.04568147,21.971
1525360173.72,7.04568254,21.97
1525360178.86,7.04568345,21.974
1525360184.01,7.04568243,21.974
1525360189.16,7.0456837,21.976
1525360194.31,7.04568232,21.978
1525360199.46,7.04568047,21.979
1525360204.61,7.04568089,21.988
1525360209.76,7.04568069,21.981
1525360214.91,7.0456816,21.985
1525360220.06,7.04568081,21.985
1525360225.2,7.04568208,21.985
1525360230.35,7.0456812,21.979
1525360235.5,7.0456792,21.97
1525360240.65,7.04567826,21.968
1525360245.8,7.04567823,21.962
1525360250.95,7.04567989,21.958
1525360256.1,7.04567943,21.967
1525360261.25,7.04568017,21.965
1525360266.4,7.04568033,21.961
1525360271.55,7.04568259,21.961
1525360276.69,7.04568373,21.967
1525360281.84,7.04567974,21.962
1525360286.99,7.04567987,21.964
1525360292.14,7.04568178,21.967
1525360297.29,7.04568034,21.968
1525360302.44,7.04568101,21.961
1525360307.59,7.04568054,21.964
1525360312.74,7.04567987,21.971
1525360317.89,7.0456805,21.965
1525360323.04,7.04568122,21.964
1525360328.19,7.04568222,21.971
1525360333.33,7.0456802,21.965
1525360338.48,7.04568052,21.962
1525360343.63,7.04567944,21.961
1525360348.78,7.04568354,21.955
1525360353.93,7.04568189,21.962
1525360359.08,7.0456825,21.961
1525360364.23,7.0456815,21.953
1525360369.38,7.04568235,21.944
1525360374.53,7.04568181,21.944
1525360379.68,7.04568164,21.929
1525360384.82,7.04568037,21.924
1525360389.97,7.04567902,21.929
1525360395.12,7.04567996,21.924
1525360400.27,7.04568081,21.929
1525360405.42,7.04568086,21.922
1525360410.57,7.04568009,21.929
1525360415.72,7.04568054,21.924
