timestamp,v,temp_c
1528902099.27,7045700.3,21.144
1528902104.41,7045697.03,21.149
1528902109.55,7045698.03,21.15
1528902114.69,7045696.51,21.143
1528902119.83,7045697.22,21.144
1528902124.97,7045694.61,21.143
1528902130.11,7045694.23,21.15
1528902135.25,7045695.37,21.146
1528902140.38,7045696.38,21.156
1528902145.52,7045696.15,21.155
1528902150.66,7045692.47,21.149
1528902155.8,7045690.53,21.158
1528902160.94,7045692.4,21.161
1528902166.08,7045690.3,21.159
1528902171.22,7045691.85,21.152
1528902176.36,7045694.77,21.155
1528902181.5,7045690.6,21.153
1528902186.64,7045689.91,21.156
1528902191.77,7045692.59,21.155
1528902196.91,7045693.19,21.158
1528902202.05,7045690.56,21.149
1528902207.19,7045691.85,21.143
1528902212.33,7045690.91,21.144
1528902217.47,7045689.0,21.155
1528902222.61,7045692.0,21.146
1528902227.75,7045689.18,21.146
1528902232.89,7045690.57,21.152
1528902238.02,7045690.34,21.144
1528902243.16,7045688.67,21.15
1528902248.3,7045689.9,21.149
1528902253.44,7045692.43,21.155
1528902258.58,7045692.92,21.149
1528902263.72,7045689.72,21.143
1528902268.86,7045692.88,21.152
1528902274.0,7045689.61,21.156
1528902279.14,7045688.6,21.153
1528902284.28,7045693.07,21.15
1528902289.41,7045689.95,21.159
1528902294.55,7045688.87,21.161
1528902299.69,7045691.19,21.158
1528902304.83,7045692.71,21.158
1528902309.97,7045692.2,21.147
1528902315.11,7045691.44,21.153
1528902320.25,7045691.92,21.167
1528902325.39,7045690.33,21.17
1528902330.53,7045691.9,21.162
1528902335.66,7045690.71,21.162
1528902340.8,7045691.14,21.167
1528902345.94,7045691.56,21.164
1528902351.08,7045689.06,21.166
1528902356.22,7045690.74,21.172
1528902361.36,7045689.67,21.175
1528902366.5,7045689.77,21.17
1528902371.64,7045688.35,21.181
1528902376.78,7045686.99,21.178
1528902381.91,7045688.81,21.172
1528902387.05,7045688.24,21.176
1528902392.19,7045689.5,21.169
1528902397.33,7045691.32,21.179
1528902402.47,7045690.69,21.181
1528902407.61,7045691.45,21.176
1528902412.75,7045689.14,21.178
1528902417.89,7045689.58,21.182
1528902423.03,7045689.87,21.182
1528902428.16,7045689.81,21.188
1528902433.3,7045689.19,21.184
1528902438.44,7045689.84,21.182
1528902443.58,7045690.07,21.192
1528902448.72,7045689.55,21.187
1528902453.86,7045689.9,21.185
1528902459.0,7045688.17,21.182
1528902464.14,7045687.9,21.188
1528902469.28,7045685.0,21.192
1528902474.42,7045685.78,21.185
1528902479.56,7045685.8,21.182
1528902484.69,7045687.04,21.184
1528902489.83,7045691.09,21.192
1528902494.97,7045692.22,21.187
1528902500.11,7045689.83,21.185
1528902505.25,7045689.86,21.187
1528902510.39,7045689.67,21.187
1528902515.53,7045689.79,21.185
1528902520.67,7045687.59,21.184
1528902525.81,7045686.9,21.181
1528902530.95,7045689.5,21.185
1528902536.09,7045689.69,21.19
1528902541.23,7045688.06,21.182
1528902546.36,7045690.17,21.184
1528902551.5,7045687.7,21.185
1528902556.64,7045687.16,21.185
1528902561.78,7045688.14,21.179
1528902566.92,7045685.91,21.185
1528902572.06,7045687.59,21.193
1528902577.2,7045686.83,21.187
1528902582.34,7045687.76,21.182
1528902587.48,7045689.35,21.185
1528902592.62,7045688.12,21.185
1528902597.76,7045687.51,21.188
1528902602.9,7045689.22,21.181
1528902608.04,7045688.73,21.192
1528902613.18,7045688.59,21.185
1528902618.31,7045687.87,21.182
1528902623.45,7045691.28,21.181
1528902628.59,7045689.02,21.182
1528902633.73,7045687.77,21.181
1528902638.87,7045691.67,21.184
1528902644.01,7045691.8,21.185
1528902649.15,7045686.74,21.172
1528902654.29,7045687.89,21.185
1528902659.43,7045686.39,21.188
1528902664.57,7045687.89,21.181
1528902669.71,7045686.41,21.178
1528902674.85,7045685.8,21.187
1528902679.98,7045685.7,21.184
1528902685.12,7045685.7,21.185
1528902690.26,7045685.96,21.193
1528902695.4,7045686.91,21.188
1528902700.54,7045685.66,21.19
1528902705.68,7045688.07,21.19
1528902710.82,7045689.73,21.188
1528902715.96,7045689.01,21.185
1528902721.1,7045688.61,21.19
1528902726.24,7045688.9,21.192
1528902731.38,7045691.2,21.196
1528902736.52,7045690.22,21.19
1528902741.65,7045689.96,21.198
1528902746.79,7045688.24,21.198
1528902751.93,7045686.06,21.198
1528902757.07,7045685.95,21.204
1528902762.21,7045686.62,21.193
1528902767.35,7045685.99,21.195
1528902772.49,7045686.02,21.198
1528902777.63,7045686.15,21.185
1528902782.77,7045690.02,21.195
1528902787.91,7045687.11,21.196
1528902793.04,7045687.31,21.196
1528902798.18,7045687.81,21.202
1528902803.32,7045690.85,21.198
1528902808.46,7045690.26,21.201
1528902813.6,7045687.16,21.21
1528902818.74,7045687.22,21.198
1528902823.88,7045688.22,21.198
1528902829.02,7045685.83,21.199
1528902834.16,7045685.13,21.205
1528902839.3,7045684.87,21.201
1528902844.44,7045684.78,21.211
1528902849.57,7045684.32,21.21
1528902854.71,7045687.34,21.196
1528902859.85,7045686.88,21.202
1528902864.99,7045686.58,21.201
1528902870.13,7045688.82,21.201
1528902875.27,7045687.83,21.207
1528902880.41,7045686.3,21.21
1528902885.55,7045686.78,21.207
1528902890.69,7045685.98,21.211
1528902895.83,7045685.7,21.204
1528902900.97,7045688.12,21.205
1528902906.1,7045686.78,21.207
1528902911.24,7045688.05,21.204
1528902916.38,7045686.56,21.202
1528902921.52,7045686.09,21.201
1528902926.66,7045685.67,21.199
1528902931.8,7045686.41,21.195
1528902936.94,7045686.25,21.205
1528902942.08,7045686.0,21.196
1528902947.22,7045687.08,21.204
1528902952.35,7045686.78,21.196
1528902957.49,7045687.11,21.202
1528902962.63,7045685.24,21.202
1528902967.77,7045685.97,21.201
1528902972.91,7045685.8,21.196
1528902978.05,7045686.93,21.195
1528902983.19,7045688.64,21.199
1528902988.33,7045689.0,21.199
1528902993.47,7045686.1,21.202
1528902998.61,7045687.66,21.205
1528903003.75,7045690.11,21.204
1528903008.88,7045691.4,21.202
1528903014.02,7045689.04,21.21
1528903019.16,7045689.05,21.207
1528903024.3,7045686.45,21.204
1528903029.44,7045687.72,21.21
