timestamp,resistance,oven_c,ambient_c
1531041969.58,11221.9642,22.389873,21.59
1531041970.14,11220.5833,22.392635,21.59
1531041970.7,11219.1434,22.395515,21.59
1531041971.26,11217.809,22.398185,21.59
1531041971.85,11216.3551,22.401094,21.595
1531041972.41,11215.0943,22.403617,21.595
1531041972.97,11213.4169,22.406974,21.595
1531041973.53,11212.9303,22.407948,21.595
1531041974.09,11211.744,22.410322,21.595
1531041974.65,11210.8342,22.412144,21.595
1531041975.21,11209.9193,22.413976,21.594
1531041975.77,11208.9841,22.415848,21.594
1531041976.33,11208.1156,22.417587,21.594
1531041976.89,11207.2995,22.419222,21.594
1531041977.45,11206.5305,22.420762,21.594
1531041978.01,11205.7136,22.422398,21.588
1531041978.56,11204.983,22.423862,21.588
1531041979.12,11204.3147,22.425201,21.588
1531041979.68,11203.6644,22.426504,21.588
1531041980.24,11203.0075,22.427820,21.588
1531041980.8,11202.3927,22.429052,21.588
1531041981.36,11201.6487,22.430543,21.591
1531041981.92,11201.547,22.430747,21.591
1531041982.48,11200.416,22.433013,21.591
1531041983.04,11200.1115,22.433624,21.591
1531041983.6,11199.5917,22.434665,21.591
1531041984.16,11198.968,22.435916,21.582
1531041984.72,11198.3745,22.437105,21.582
1531041985.28,11197.9911,22.437874,21.582
1531041985.84,11197.5281,22.438802,21.582
1531041986.4,11196.9538,22.439954,21.582
1531041986.96,11196.4819,22.440900,21.582
1531041987.52,11196.0248,22.441816,21.568
1531041988.08,11195.8825,22.442102,21.568
1531041988.64,11195.163,22.443544,21.568
1531041989.2,11192.4542,22.448977,21.568
1531041989.76,11184.4733,22.464993,21.568
1531041990.32,11169.9571,22.494156,21.57
1531041990.88,11149.3268,22.535679,21.57
1531041991.44,11123.315,22.588159,21.57
1531041992.0,11093.1753,22.649144,21.57
1531041992.56,11059.8934,22.716709,21.57
1531041993.12,11024.4999,22.788819,21.57
1531041993.68,10987.876,22.863717,21.565
1531041994.23,10951.0839,22.939249,21.565
1531041994.79,10913.9114,23.015859,21.565
1531041995.35,10877.1791,23.091858,21.565
1531041995.91,10841.0579,23.166882,21.565
1531041996.47,10805.8274,23.240334,21.554
1531041997.03,10771.7205,23.311706,21.554
1531041997.59,10738.6177,23.381227,21.554
1531041998.15,10706.8008,23.448280,21.554
1531041998.71,10676.1067,23.513185,21.554
1531041999.27,10646.6114,23.575758,21.554
1531041999.83,10618.2876,23.636034,21.545
1531042000.39,10591.3545,23.693522,21.545
1531042000.95,10565.4173,23.749045,21.545
1531042001.51,10540.6604,23.802187,21.545
1531042002.07,10516.9004,23.853325,21.545
1531042002.63,10494.2116,23.902282,21.533
1531042003.19,10472.7687,23.948663,21.533
1531042003.75,10452.0523,23.993576,21.533
1531042004.31,10432.4718,24.036122,21.533
1531042004.87,10414.0503,24.076233,21.533
1531042005.43,10396.6043,24.114295,21.533
1531042005.99,10380.3836,24.149750,21.525
1531042006.55,10365.871,24.181526,21.525
1531042007.11,10352.8206,24.210145,21.525
1531042007.67,10341.7047,24.234553,21.525
1531042008.23,10332.4645,24.254867,21.525
1531042008.79,10325.5474,24.270087,21.523
1531042009.35,10320.9446,24.280221,21.523
1531042009.91,10318.7678,24.285015,21.523
1531042010.46,10318.7693,24.285012,21.523
1531042011.02,10320.8985,24.280322,21.523
1531042011.62,10325.376,24.270464,21.513
1531042012.18,10331.5536,24.256870,21.513
1531042012.74,10339.3809,24.239660,21.513
1531042013.3,10348.481,24.219670,21.513
1531042013.85,10358.7851,24.197060,21.513
1531042014.41,10369.7329,24.173066,21.513
1531042014.97,10381.3553,24.147625,21.509
1531042015.53,10393.3403,24.121425,21.509
1531042016.09,10405.3644,24.095174,21.509
1531042016.65,10417.1623,24.069451,21.509
1531042017.21,10428.6438,24.044450,21.509
1531042017.77,10439.4633,24.020920,21.505
1531042018.33,10449.5609,23.998985,21.505
1531042018.89,10458.757,23.979029,21.505
1531042019.45,10467.0048,23.961149,21.505
1531042020.01,10474.0826,23.945818,21.505
1531042020.57,10480.3104,23.932338,21.505
1531042021.13,10485.2007,23.921759,21.502
1531042021.69,10489.2115,23.913087,21.502
1531042022.25,10492.1747,23.906683,21.502
1531042022.81,10494.2369,23.902227,21.502
1531042023.37,10495.446,23.899615,21.502
1531042023.93,10495.8825,23.898672,21.496
1531042024.49,10495.6849,23.899099,21.496
1531042025.05,10494.9851,23.900611,21.496
1531042025.61,10493.905,23.902944,21.496
1531042026.17,10492.558,23.905855,21.496
1531042026.73,10490.9574,23.909314,21.496
1531042027.29,10489.2712,23.912958,21.49
1531042027.85,10487.6249,23.916517,21.49
1531042028.41,10486.0817,23.919854,21.49
1531042028.97,10484.619,23.923017,21.49
1531042029.52,10483.1975,23.926092,21.49
1531042030.08,10482.0186,23.928642,21.478
1531042030.64,10481.2386,23.930329,21.478
1531042031.2,10480.4125,23.932117,21.478
1531042031.76,10480.0763,23.932844,21.478
1531042032.32,10479.8536,23.933326,21.478
1531042032.88,10480.1264,23.932736,21.478
1531042033.44,10480.2164,23.932541,21.482
1531042034.0,10480.7811,23.931319,21.482
1531042034.56,10481.6042,23.929538,21.482
1531042035.12,10482.4299,23.927752,21.482
1531042035.68,10483.4319,23.925585,21.482
1531042036.24,10484.6078,23.923041,21.475
1531042036.8,10485.7683,23.920532,21.475
1531042037.36,10487.1592,23.917524,21.475
1531042037.92,10488.3904,23.914862,21.475
1531042038.48,10489.7507,23.911922,21.475
1531042039.04,10490.9178,23.909399,21.475
1531042039.6,10492.2545,23.906511,21.471
1531042040.16,10493.4039,23.904027,21.471
1531042040.72,10494.4971,23.901665,21.471
1531042041.28,10495.5123,23.899472,21.471
1531042041.84,10496.3934,23.897569,21.471
1531042042.4,10497.2877,23.895637,21.474
1531042042.96,10498.0552,23.893980,21.474
1531042043.52,10498.6587,23.892677,21.474
1531042044.08,10499.1962,23.891516,21.474
1531042044.64,10499.6496,23.890537,21.474
1531042045.19,10500.0949,23.889576,21.474
1531042045.75,10500.5033,23.888694,21.464
1531042046.31,10500.8292,23.887990,21.464
1531042046.87,10501.0963,23.887414,21.464
1531042047.43,10501.2047,23.887180,21.464
1531042047.99,10501.4819,23.886581,21.464
1531042048.55,10501.6397,23.886241,21.457
1531042049.11,10501.9272,23.885620,21.457
1531042049.67,10502.0208,23.885418,21.457
1531042050.23,10502.2302,23.884966,21.457
1531042050.79,10502.4853,23.884415,21.457
1531042051.4,10502.7809,23.883777,21.455
1531042051.96,10502.8082,23.883718,21.455
1531042052.52,10503.0692,23.883155,21.455
1531042053.08,10503.3377,23.882575,21.455
1531042053.64,10503.6119,23.881984,21.455
1531042054.2,10503.9865,23.881175,21.455
1531042054.76,10504.1944,23.880727,21.461
1531042055.32,10504.6102,23.879829,21.461
1531042055.88,10504.9312,23.879136,21.461
1531042056.44,10505.2659,23.878414,21.461
1531042057.0,10505.5984,23.877697,21.461
1531042057.55,10505.9575,23.876922,21.464
1531042058.11,10506.2671,23.876254,21.464
1531042058.67,10506.7029,23.875314,21.464
1531042059.23,10507.0661,23.874530,21.464
1531042059.79,10507.4569,23.873687,21.464
1531042060.35,10507.8646,23.872808,21.464
1531042060.91,10508.1684,23.872152,21.46
1531042061.47,10508.5975,23.871227,21.46
1531042062.03,10509.0287,23.870296,21.46
1531042062.59,10509.2632,23.869791,21.46
1531042063.15,10509.6443,23.868969,21.46
1531042063.71,10509.9687,23.868269,21.456
1531042064.27,10510.3558,23.867434,21.456
1531042064.83,10510.8461,23.866377,21.456
1531042065.39,10511.1234,23.865779,21.456
1531042065.95,10511.402,23.865178,21.456
1531042066.51,10511.5967,23.864758,21.456
1531042067.07,10511.8769,23.864154,21.46
1531042067.63,10512.2359,23.863380,21.46
1531042068.19,10512.4196,23.862984,21.46
1531042068.75,10512.7491,23.862273,21.46
1531042069.31,10513.0212,23.861687,21.46
1531042069.87,10513.2512,23.861191,21.456
1531042070.43,10513.4901,23.860676,21.456
1531042070.99,10513.729,23.860161,21.456
1531042071.55,10513.8415,23.859918,21.456
1531042072.11,10514.062,23.859443,21.456
1531042072.67,10514.3753,23.858768,21.456
1531042073.22,10514.6407,23.858195,21.453
1531042073.78,10514.8722,23.857696,21.453
1531042074.34,10515.1573,23.857082,21.453
1531042074.9,10515.3586,23.856648,21.453
1531042075.46,10515.5525,23.856230,21.453
1531042076.02,10515.7295,23.855849,21.447
1531042076.58,10516.0509,23.855156,21.447
1531042077.14,10516.1733,23.854892,21.447
1531042077.7,10516.4504,23.854295,21.447
1531042078.26,10516.6783,23.853804,21.447
1531042078.82,10516.9009,23.853324,21.447
1531042079.38,10517.2408,23.852591,21.438
1531042079.94,10517.4915,23.852051,21.438
1531042080.5,10517.7253,23.851547,21.438
1531042081.06,10517.9177,23.851133,21.438
1531042081.62,10518.1566,23.850618,21.438
1531042082.18,10518.3785,23.850140,21.438
1531042082.74,10518.6741,23.849503,21.438
1531042083.3,10518.9027,23.849010,21.438
1531042083.86,10519.082,23.848624,21.438
1531042084.42,10519.3245,23.848102,21.438
1531042084.98,10519.5221,23.847676,21.438
1531042085.54,10519.7278,23.847233,21.436
1531042086.1,10519.9092,23.846842,21.436
1531042086.66,10520.1369,23.846351,21.436
1531042087.22,10520.3463,23.845900,21.436
1531042087.78,10520.6619,23.845220,21.436
1531042088.34,10520.8565,23.844801,21.434
1531042088.9,10520.9914,23.844511,21.434
1531042089.46,10521.1934,23.844076,21.434
1531042090.01,10521.4499,23.843523,21.434
1531042090.57,10521.7389,23.842901,21.434
1531042091.17,10521.9431,23.842461,21.441
1531042091.73,10522.1599,23.841994,21.441
1531042092.28,10522.3258,23.841636,21.441
1531042092.84,10522.5417,23.841171,21.441
1531042093.4,10522.7665,23.840687,21.441
1531042093.96,10522.9796,23.840228,21.441
1531042094.52,10523.2082,23.839736,21.437
1531042095.08,10523.635,23.838817,21.437
1531042095.64,10523.7722,23.838521,21.437
1531042096.2,10523.9478,23.838143,21.437
1531042096.76,10524.1395,23.837730,21.437
1531042097.32,10524.357,23.837262,21.434
1531042097.88,10524.4779,23.837002,21.434
1531042098.44,10524.6917,23.836541,21.434
1531042099.0,10524.9152,23.836060,21.434
1531042099.56,10525.1055,23.835650,21.434
1531042100.12,10525.3738,23.835073,21.434
1531042100.68,10525.5213,23.834755,21.439
1531042101.24,10525.7152,23.834338,21.439
1531042101.8,10525.9142,23.833909,21.439
1531042102.36,10526.1593,23.833382,21.439
1531042102.92,10526.2478,23.833191,21.439
1531042103.48,10526.5457,23.832550,21.437
1531042104.04,10526.7919,23.832020,21.437
1531042104.6,10526.9069,23.831772,21.437
1531042105.16,10527.0501,23.831464,21.437
1531042105.72,10527.2034,23.831134,21.437
1531042106.28,10527.3944,23.830723,21.437
1531042106.84,10527.6598,23.830151,21.436
1531042107.4,10527.7704,23.829913,21.436
1531042107.96,10527.8588,23.829723,21.436
1531042108.51,10528.052,23.829307,21.436
1531042109.07,10528.2349,23.828914,21.436
1531042109.63,10528.4258,23.828503,21.434
1531042110.19,10528.5276,23.828284,21.434
1531042110.75,10528.6905,23.827933,21.434
1531042111.31,10528.9506,23.827373,21.434
1531042111.87,10529.0243,23.827215,21.434
1531042112.43,10529.2477,23.826734,21.434
1531042112.99,10529.6407,23.825888,21.431
1531042113.55,10529.7218,23.825713,21.431
1531042114.11,10529.814,23.825515,21.431
1531042114.67,10529.935,23.825255,21.431
1531042115.23,10530.067,23.824971,21.431
1531042115.79,10530.1606,23.824769,21.424
1531042116.35,10530.3206,23.824425,21.424
1531042116.91,10530.4489,23.824149,21.424
1531042117.47,10530.5546,23.823921,21.424
1531042118.03,10530.792,23.823410,21.424
1531042118.59,10530.896,23.823187,21.424
1531042119.15,10531.0773,23.822797,21.426
1531042119.71,10531.0943,23.822760,21.426
1531042120.27,10531.2248,23.822479,21.426
1531042120.83,10531.4607,23.821972,21.426
1531042121.39,10531.6259,23.821616,21.426
1531042121.95,10531.7394,23.821372,21.421
1531042122.51,10531.8854,23.821058,21.421
1531042123.07,10532.1073,23.820580,21.421
