timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545281770.34,7045696.64,20.796,7045697.54232
1545281775.54,7045696.22,20.781,7045697.49426
1545281780.71,7045696.66,20.776,7045697.44688
1545281785.88,7045696.97,20.77,7045697.40019
1545281791.06,7045698.97,20.766,7045697.35418
1545281796.23,7045697.82,20.755,7045697.30886
1545281801.39,7045697.62,20.747,7045697.26422
1545281806.57,7045700.02,20.749,7045697.22027
1545281811.74,7045698.6,20.744,7045697.177
1545281816.92,7045699.07,20.738,7045697.13442
1545281822.09,7045699.37,20.733,7045697.09253
1545281827.26,7045697.67,20.732,7045697.05132
1545281832.43,7045696.22,20.721,7045697.0108
1545281837.61,7045695.82,20.71,7045696.97096
1545281842.78,7045698.02,20.714,7045696.93181
1545281847.96,7045696.9,20.701,7045696.89334
1545281853.13,7045696.0,20.694,7045696.85556
1545281858.31,7045698.39,20.697,7045696.81847
1545281863.48,7045697.74,20.689,7045696.78206
1545281868.65,7045699.32,20.677,7045696.74633
1545281873.81,7045699.06,20.671,7045696.71129
1545281879.0,7045698.77,20.661,7045696.67694
1545281884.16,7045696.55,20.666,7045696.64327
1545281889.51,7045697.15,20.651,7045696.61029
1545281894.67,7045696.98,20.648,7045696.57799
1545281899.84,7045697.27,20.648,7045696.54638
1545281905.01,7045697.47,20.635,7045696.51546
1545281910.18,7045698.41,20.637,7045696.48522
1545281915.34,7045696.02,20.632,7045696.45566
1545281920.51,7045697.08,20.634,7045696.42679
1545281925.69,7045698.54,20.623,7045696.39861
1545281930.86,7045697.34,20.614,7045696.37111
1545281936.04,7045698.45,20.608,7045696.3443
1545281941.21,7045696.71,20.6,7045696.31817
1545281946.38,7045695.28,20.596,7045696.29273
1545281951.56,7045696.29,20.579,7045696.26797
1545281956.73,7045694.29,20.565,7045696.2439
1545281961.9,7045694.36,20.553,7045696.22052
1545281967.08,7045695.48,20.545,7045696.19782
1545281972.25,7045694.74,20.537,7045696.17581
1545281977.43,7045693.21,20.533,7045696.15448
1545281982.6,7045692.45,20.539,7045696.13384
1545281987.77,7045691.98,20.531,7045696.11388
1545281992.95,7045692.53,20.522,7045696.09461
1545281998.12,7045693.93,20.517,7045696.07602
1545282003.3,7045694.57,20.513,7045696.05812
1545282008.47,7045695.12,20.517,7045696.0409
