time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid
1,23.35,74.02,50.31,23.02,73.44,49.97
2,23.34,74.00,50.29,23.03,73.46,49.95
3,23.37,74.06,50.29,23.03,73.46,49.97
4,23.37,74.06,50.30,23.06,73.50,49.97
5,23.37,74.06,50.27,23.06,73.50,49.96
6,23.35,74.02,50.29,23.05,73.48,49.95
7,23.36,74.04,50.29,23.05,73.48,49.98
8,23.36,74.04,50.29,23.07,73.52,49.97
9,23.36,74.04,50.28,23.06,73.50,49.97
10,23.37,74.06,50.27,23.06,73.50,49.95
11,23.37,74.06,50.27,23.03,73.46,49.94
12,23.37,74.06,50.26,23.06,73.50,49.95
13,23.36,74.04,50.27,23.05,73.48,49.92
14,23.37,74.06,50.27,23.03,73.46,49.92
15,23.37,74.06,50.28,23.03,73.46,49.92
16,23.38,74.08,50.27,23.05,73.48,49.91
17,23.37,74.06,50.29,23.06,73.50,49.90
18,23.38,74.08,50.28,23.05,73.48,49.90
19,23.37,74.06,50.27,23.06,73.50,49.90
20,23.38,74.08,50.27,23.05,73.48,49.87
21,23.37,74.06,50.27,23.03,73.46,49.89
22,23.37,74.06,50.28,23.05,73.48,49.87
23,23.37,74.06,50.28,23.01,73.42,49.85
24,23.38,74.08,50.27,23.01,73.42,49.85
25,23.39,74.10,50.27,23.02,73.44,49.83
26,23.38,74.08,50.27,23.01,73.42,49.85
27,23.38,74.08,50.27,23.02,73.44,49.82
28,23.39,74.10,50.29,22.99,73.39,49.79
29,23.36,74.04,50.27,22.99,73.39,49.81
30,23.39,74.10,50.27,23.01,73.42,49.81
31,23.38,74.08,50.28,23.01,73.42,49.79
32,23.39,74.10,50.29,23.02,73.44,49.79
33,23.38,74.08,50.27,22.99,73.39,49.78
34,23.38,74.08,50.26,23.01,73.42,49.79
35,23.38,74.08,50.26,22.99,73.39,49.78
36,23.38,74.08,50.26,23.00,73.40,49.78
37,23.39,74.10,50.26,23.00,73.40,49.77
38,23.38,74.08,50.27,23.00,73.40,49.76
39,23.38,74.08,50.26,23.00,73.40,49.77
40,23.38,74.08,50.27,23.01,73.42,49.78
41,23.39,74.10,50.26,23.00,73.40,49.77
42,23.40,74.12,50.27,23.01,73.42,49.77
43,23.39,74.10,50.26,23.01,73.42,49.78
44,23.40,74.12,50.27,23.00,73.40,49.76
45,23.38,74.08,50.26,22.99,73.39,49.76
46,23.40,74.12,50.25,22.97,73.35,49.75
47,23.40,74.12,50.27,22.97,73.35,49.76
48,23.38,74.08,50.24,22.99,73.39,49.76
49,23.39,74.10,50.25,22.96,73.33,49.73
50,23.40,74.12,50.26,22.97,73.35,49.73
51,23.38,74.08,50.24,22.96,73.33,49.75
52,23.40,74.12,50.25,22.95,73.31,49.75
53,23.39,74.10,50.24,22.95,73.31,49.74
54,23.40,74.12,50.27,22.96,73.33,49.73
55,23.41,74.14,50.25,22.97,73.35,49.75
56,23.40,74.12,50.25,22.95,73.31,49.76
57,23.41,74.14,50.24,22.97,73.35,49.77
58,23.41,74.14,50.25,22.96,73.33,49.76
59,23.40,74.12,50.24,22.95,73.31,49.75
