time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid
1,27.29,81.13,47.98,23.52,74.33,54.28
2,27.28,81.11,47.96,23.51,74.31,54.26
3,27.31,81.17,47.96,23.51,74.31,54.28
4,27.30,81.15,47.96,23.53,74.35,54.27
5,27.31,81.17,47.96,23.55,74.39,54.30
6,27.35,81.22,47.96,23.54,74.37,54.30
7,27.36,81.24,47.96,23.56,74.41,54.30
8,27.37,81.26,47.95,23.55,74.39,54.30
9,27.38,81.28,47.94,23.55,74.39,54.30
10,27.38,81.28,47.94,23.56,74.41,54.31
11,27.39,81.30,47.93,23.57,74.43,54.30
12,27.40,81.32,47.93,23.56,74.41,54.32
13,27.40,81.32,47.91,23.57,74.43,54.30
14,27.40,81.32,47.90,23.56,74.41,54.30
15,27.42,81.36,47.89,23.56,74.41,54.32
16,27.40,81.32,47.87,23.57,74.43,54.31
17,27.44,81.40,47.88,23.57,74.43,54.32
18,27.42,81.36,47.86,23.58,74.45,54.33
19,27.42,81.36,47.85,23.57,74.43,54.33
20,27.43,81.38,47.86,23.57,74.43,54.32
21,27.44,81.40,47.86,23.58,74.45,54.31
22,27.44,81.40,47.86,23.58,74.45,54.33
23,27.46,81.44,47.86,23.57,74.43,54.33
24,27.46,81.44,47.83,23.58,74.45,54.34
25,27.47,81.45,47.83,23.56,74.41,54.36
26,27.49,81.47,47.84,23.57,74.43,54.35
27,27.49,81.47,47.81,23.55,74.39,54.36
28,27.50,81.49,47.82,23.57,74.43,54.37
29,27.51,81.51,47.83,23.58,74.45,54.39
30,27.52,81.53,47.82,23.58,74.45,54.39
31,27.52,81.53,47.80,23.57,74.43,54.39
32,27.52,81.53,47.79,23.56,74.41,54.39
33,27.52,81.53,47.78,23.56,74.41,54.39
34,27.53,81.55,47.77,23.58,74.45,54.38
35,27.53,81.55,47.77,23.57,74.43,54.40
36,27.54,81.57,47.78,23.56,74.41,54.40
37,27.55,81.59,47.77,23.57,74.43,54.39
38,27.55,81.59,47.76,23.57,74.43,54.40
39,27.55,81.59,47.76,23.57,74.43,54.40
40,27.57,81.63,47.76,23.59,74.47,54.39
41,27.58,81.65,47.76,23.58,74.45,54.39
42,27.56,81.61,47.73,23.57,74.43,54.41
43,27.58,81.65,47.73,23.57,74.43,54.40
44,27.57,81.63,47.73,23.55,74.39,54.41
45,27.59,81.67,47.73,23.57,74.43,54.40
46,27.61,81.71,47.73,23.56,74.41,54.39
47,27.60,81.69,47.72,23.55,74.39,54.39
48,27.63,81.73,47.72,23.55,74.39,54.42
49,27.64,81.74,47.71,23.56,74.41,54.41
50,27.61,81.71,47.70,23.56,74.41,54.42
51,27.64,81.74,47.69,23.55,74.39,54.40
52,27.63,81.73,47.69,23.55,74.39,54.41
53,27.66,81.78,47.70,23.56,74.41,54.41
54,27.64,81.74,47.69,23.54,74.37,54.41
55,27.66,81.78,47.68,23.55,74.39,54.41
56,27.66,81.78,47.69,23.55,74.39,54.40
57,27.68,81.82,47.68,23.54,74.37,54.40
58,27.69,81.84,47.68,23.55,74.39,54.40
59,27.69,81.84,47.67,23.56,74.41,54.40
60,27.70,81.86,47.67,23.55,74.39,54.40
61,27.70,81.86,47.65,23.54,74.37,54.41
62,27.71,81.88,47.66,23.55,74.39,54.41
63,27.69,81.84,47.66,23.52,74.33,54.40
64,27.70,81.86,47.65,23.52,74.33,54.40
65,27.72,81.90,47.63,23.52,74.33,54.39
66,27.72,81.90,47.63,23.51,74.31,54.39
67,27.71,81.88,47.62,23.50,74.29,54.39
68,27.74,81.94,47.63,23.49,74.27,54.39
