time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pid_i
1,25.35,77.632,46.83,23.57,74.428,52.08,25.0220,0.100,0.000
2,25.34,77.613,46.83,23.56,74.408,52.06,25.0432,0.100,0.000
3,25.37,77.671,46.83,23.59,74.466,52.09,25.0666,0.100,0.000
4,25.35,77.632,46.83,23.58,74.447,52.07,25.0885,0.100,0.000
5,25.34,77.613,46.83,23.60,74.486,52.09,25.1098,0.100,0.000
6,25.35,77.632,46.81,23.56,74.408,52.07,25.1318,0.100,0.000
7,25.34,77.613,46.81,23.57,74.428,52.07,25.1530,0.100,0.000
8,25.35,77.632,46.80,23.56,74.408,52.09,25.1750,0.100,0.000
9,25.34,77.613,46.79,23.58,74.447,52.09,25.1963,1.049,0.096
10,25.37,77.671,46.80,23.58,74.447,52.09,25.2196,1.900,0.096
11,25.35,77.632,46.76,23.57,74.428,52.07,25.2416,1.900,0.096
12,25.35,77.632,46.77,23.57,74.428,52.07,25.2635,1.900,0.096
13,25.34,77.613,46.73,23.57,74.428,52.06,25.2848,1.900,0.096
14,25.34,77.613,46.73,23.57,74.428,52.09,25.3061,1.900,0.096
15,25.36,77.652,46.72,23.55,74.389,52.07,25.3287,1.900,0.096
16,25.36,77.652,46.70,23.57,74.428,52.09,25.3514,1.900,0.096
17,25.35,77.632,46.68,23.57,74.428,52.07,25.3514,1.900,0.096
18,25.35,77.632,46.64,23.56,74.408,52.08,25.3520,1.900,0.096
19,25.36,77.652,46.66,23.59,74.466,52.10,25.3514,1.900,0.096
20,25.37,77.671,46.64,23.56,74.408,52.07,25.3527,1.900,0.096
21,25.35,77.632,46.60,23.55,74.389,52.09,25.3534,1.900,0.096
22,25.39,77.710,46.58,23.57,74.428,52.07,25.3561,1.900,0.096
23,25.38,77.690,46.58,23.58,74.447,52.08,25.3587,1.900,0.096
24,25.38,77.690,46.55,23.58,74.447,52.07,25.3607,1.900,0.096
25,25.38,77.690,46.55,23.57,74.428,52.08,25.3634,1.900,0.096
26,25.39,77.710,46.52,23.57,74.428,52.07,25.3648,1.900,0.096
27,25.43,77.768,46.51,23.59,74.466,52.09,25.3695,1.900,0.096
28,25.44,77.787,46.49,23.57,74.428,52.07,25.3748,1.900,0.096
29,25.42,77.748,46.47,23.57,74.428,52.07,25.3795,1.900,0.096
30,25.45,77.806,46.46,23.58,74.447,52.07,25.3862,1.900,0.096
31,25.45,77.806,46.45,23.59,74.466,52.08,25.3916,1.900,0.096
32,25.47,77.845,46.44,23.57,74.428,52.07,25.3983,1.900,0.096
33,25.48,77.864,46.42,23.57,74.428,52.08,25.4063,1.900,0.096
34,25.48,77.864,46.40,23.57,74.428,52.07,25.4144,1.900,0.096
35,25.49,77.883,46.37,23.57,74.428,52.07,25.4224,1.900,0.096
36,25.51,77.922,46.37,23.57,74.428,52.06,25.4311,1.900,0.096
37,25.50,77.903,46.35,23.55,74.389,52.07,25.4405,1.900,0.096
38,25.53,77.961,46.35,23.55,74.389,52.07,25.4492,1.900,0.096
39,25.52,77.941,46.33,23.54,74.370,52.07,25.4579,1.900,0.096
40,25.53,77.961,46.32,23.56,74.408,52.07,25.4673,1.900,0.096
41,25.58,78.038,46.32,23.54,74.370,52.06,25.4794,1.900,0.096
42,25.56,77.999,46.30,23.55,74.389,52.07,25.4894,1.900,0.096
43,25.60,78.076,46.29,23.57,74.428,52.07,25.5002,1.900,0.096
44,25.60,78.076,46.26,23.55,74.389,52.10,25.5102,1.900,0.096
45,25.62,78.115,46.25,23.55,74.389,52.08,25.5230,1.900,0.096
46,25.61,78.096,46.25,23.54,74.370,52.09,25.5330,1.900,0.096
