time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pid_i
1,30.00,85.992,40.89,23.41,74.138,52.94,25.3122,0.100,0.000
2,30.00,85.992,40.88,23.42,74.158,52.94,25.6244,0.100,0.000
3,30.01,86.011,40.88,23.41,74.138,52.92,25.9373,0.100,0.000
4,30.02,86.030,40.89,23.40,74.119,52.92,26.2508,0.100,0.000
5,30.01,86.011,40.89,23.43,74.177,52.92,26.5637,0.100,0.000
6,30.01,86.011,40.89,23.42,74.158,52.90,26.8766,0.100,0.000
7,30.00,85.992,40.89,23.42,74.158,52.91,27.1888,0.100,0.000
8,30.02,86.030,40.89,23.40,74.119,52.91,27.5024,0.100,0.000
9,30.01,86.011,40.89,23.41,74.138,52.91,27.8152,0.100,0.000
10,30.00,85.992,40.89,23.41,74.138,52.90,28.1274,0.100,0.000
11,30.03,86.050,40.90,23.42,74.158,52.92,28.4417,0.100,0.000
12,30.03,86.050,40.88,23.41,74.138,52.91,28.7559,0.100,0.000
13,30.02,86.030,40.90,23.40,74.119,52.91,29.0694,0.100,0.000
14,30.04,86.069,40.89,23.40,74.119,52.92,29.3843,0.100,0.000
15,30.01,86.011,40.90,23.40,74.119,52.90,29.6972,0.100,0.000
16,30.01,86.011,40.88,23.40,74.119,52.91,30.0101,0.100,0.000
17,30.03,86.050,40.90,23.42,74.158,52.91,30.0121,0.100,0.000
18,30.02,86.030,40.89,23.43,74.177,52.91,30.0134,0.100,0.000
19,30.00,85.992,40.88,23.42,74.158,52.92,30.0128,0.100,0.000
20,29.98,85.972,40.88,23.42,74.158,52.93,30.0107,0.100,0.000
21,30.02,86.030,40.88,23.41,74.138,52.90,30.0114,0.100,0.000
22,29.98,85.972,40.91,23.41,74.138,52.90,30.0101,0.100,0.000
23,30.00,85.992,40.89,23.41,74.138,52.90,30.0101,0.100,0.000
24,30.00,85.992,40.88,23.41,74.138,52.89,30.0087,0.100,0.000
25,30.01,86.011,40.88,23.38,74.080,52.89,30.0087,0.100,0.000
26,30.00,85.992,40.89,23.39,74.100,52.89,30.0087,0.100,0.000
27,29.98,85.972,40.88,23.37,74.061,52.89,30.0060,0.100,0.000
28,30.00,85.992,40.88,23.39,74.100,52.89,30.0040,0.100,0.000
29,29.96,85.934,40.88,23.38,74.080,52.90,30.0007,0.100,0.000
30,29.97,85.953,40.88,23.40,74.119,52.88,29.9967,0.100,0.000
31,29.96,85.934,40.88,23.39,74.100,52.91,29.9940,0.100,0.000
32,29.95,85.914,40.86,23.40,74.119,52.89,29.9906,0.100,0.000
33,29.96,85.934,40.88,23.38,74.080,52.91,29.9866,0.101,0.000
34,29.97,85.953,40.87,23.39,74.100,52.91,29.9839,0.104,0.001
35,29.94,85.895,40.87,23.40,74.119,52.91,29.9806,0.115,0.001
36,29.94,85.895,40.86,23.40,74.119,52.90,29.9779,0.118,0.001
37,29.95,85.914,40.88,23.40,74.119,52.90,29.9739,0.136,0.002
38,29.95,85.914,40.87,23.39,74.100,52.89,29.9719,0.130,0.002
39,29.94,85.895,40.84,23.40,74.119,52.90,29.9685,0.141,0.003
40,29.97,85.953,40.87,23.40,74.119,52.89,29.9672,0.131,0.004
41,29.93,85.876,40.88,23.39,74.100,52.89,29.9625,0.159,0.004
42,29.95,85.914,40.87,23.38,74.080,52.89,29.9598,0.161,0.005
43,29.92,85.856,40.87,23.38,74.080,52.90,29.9558,0.178,0.006
44,29.94,85.895,40.85,23.38,74.080,52.89,29.9524,0.186,0.007
45,29.93,85.876,40.84,23.38,74.080,52.88,29.9504,0.180,0.008
46,29.94,85.895,40.87,23.39,74.100,52.89,29.9484,0.177,0.009
47,29.92,85.856,40.86,23.39,74.100,52.88,29.9457,0.184,0.010
48,29.91,85.837,40.86,23.40,74.119,52.90,29.9430,0.191,0.011
49,29.94,85.895,40.84,23.40,74.119,52.90,29.9417,0.184,0.012
50,29.92,85.856,40.84,23.40,74.119,52.90,29.9384,0.201,0.013
51,29.91,85.837,40.84,23.41,74.138,52.90,29.9363,0.202,0.015
52,29.91,85.837,40.84,23.39,74.100,52.89,29.9343,0.204,0.016
53,29.90,85.818,40.85,23.40,74.119,52.90,29.9310,0.221,0.017
54,29.91,85.837,40.86,23.39,74.100,52.90,29.9283,0.228,0.019
55,29.87,85.760,40.84,23.40,74.119,52.90,29.9236,0.256,0.020
56,29.90,85.818,40.81,23.39,74.100,52.88,29.9189,0.278,0.022
57,29.88,85.779,40.84,23.38,74.080,52.89,29.9156,0.283,0.023
58,29.89,85.799,40.85,23.40,74.119,52.90,29.9115,0.296,0.025
59,29.87,85.760,40.82,23.38,74.080,52.91,29.9082,0.301,0.027
60,29.87,85.760,40.83,23.38,74.080,52.88,29.9035,0.321,0.029
61,29.87,85.760,40.82,23.40,74.119,52.90,29.8995,0.332,0.031
62,29.86,85.741,40.81,23.39,74.100,52.88,29.8941,0.356,0.033
63,29.87,85.760,40.82,23.40,74.119,52.91,29.8908,0.356,0.035
64,29.86,85.741,40.81,23.39,74.100,52.89,29.8874,0.358,0.037
65,29.86,85.741,40.81,23.39,74.100,52.89,29.8820,0.384,0.039
66,29.83,85.702,40.81,23.41,74.138,52.91,29.8767,0.406,0.042
67,29.83,85.702,40.81,23.40,74.119,52.91,29.8720,0.418,0.044
68,29.85,85.721,40.81,23.40,74.119,52.91,29.8680,0.423,0.047
69,29.85,85.721,40.81,23.41,74.138,52.88,29.8646,0.423,0.050
70,29.83,85.702,40.81,23.41,74.138,52.90,29.8599,0.440,0.052
71,29.83,85.702,40.80,23.40,74.119,52.89,29.8579,0.428,0.055
72,29.85,85.721,40.80,23.41,74.138,52.90,29.8546,0.436,0.058
73,29.85,85.721,40.80,23.42,74.158,52.91,29.8526,0.431,0.061
74,29.81,85.663,40.81,23.41,74.138,52.91,29.8479,0.457,0.064
75,29.82,85.683,40.80,23.41,74.138,52.90,29.8452,0.458,0.067
76,29.80,85.644,40.80,23.41,74.138,52.88,29.8412,0.476,0.070
77,29.80,85.644,40.78,23.40,74.119,52.88,29.8371,0.491,0.073
78,29.81,85.663,40.80,23.41,74.138,52.88,29.8344,0.492,0.077
79,29.81,85.663,40.81,23.41,74.138,52.86,29.8311,0.502,0.080
80,29.82,85.683,40.79,23.41,74.138,52.90,29.8291,0.498,0.083
81,29.80,85.644,40.78,23.41,74.138,52.88,29.8257,0.512,0.087
82,29.79,85.625,40.78,23.41,74.138,52.89,29.8231,0.518,0.090
83,29.79,85.625,40.78,23.41,74.138,52.87,29.8204,0.524,0.094
84,29.79,85.625,40.78,23.42,74.158,52.88,29.8170,0.539,0.098
85,29.78,85.605,40.79,23.41,74.138,52.88,29.8130,0.559,0.101
86,29.79,85.625,40.78,23.39,74.100,52.86,29.8103,0.563,0.105
87,29.78,85.605,40.78,23.38,74.080,52.89,29.8070,0.575,0.109
88,29.77,85.586,40.80,23.38,74.080,52.88,29.8023,0.601,0.113
89,29.76,85.567,40.78,23.39,74.100,52.88,29.7969,0.629,0.117
90,29.77,85.586,40.78,23.39,74.100,52.86,29.7942,0.626,0.121
91,29.76,85.567,40.77,23.40,74.119,52.87,29.7902,0.640,0.125
92,29.76,85.567,40.77,23.42,74.158,52.87,29.7875,0.640,0.129
93,29.75,85.548,40.77,23.40,74.119,52.88,29.7842,0.651,0.134
94,29.76,85.567,40.78,23.41,74.138,52.87,29.7808,0.661,0.138
95,29.76,85.567,40.78,23.39,74.100,52.86,29.7775,0.672,0.142
96,29.75,85.548,40.80,23.38,74.080,52.86,29.7728,0.697,0.147
97,29.75,85.548,40.78,23.39,74.100,52.88,29.7694,0.704,0.151
98,29.73,85.509,40.78,23.38,74.080,52.86,29.7654,0.720,0.156
99,29.75,85.548,40.78,23.38,74.080,52.87,29.7627,0.721,0.161
