time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pid_i
1,28.53,83.347,52.21,25.03,77.053,52.87,25.2204,0.100,0.000
2,28.50,83.308,52.18,25.01,77.015,52.83,25.4394,0.100,0.000
3,28.53,83.347,52.17,25.00,76.995,52.79,25.6598,0.100,0.000
4,28.49,83.289,52.11,24.99,76.976,52.75,25.8781,0.100,0.000
5,28.48,83.270,52.08,25.01,77.015,52.71,26.0958,0.100,0.000
6,28.47,83.250,52.07,25.01,77.015,52.68,26.3129,0.100,0.000
7,28.47,83.250,52.07,24.99,76.976,52.63,26.5299,0.100,0.000
8,28.47,83.250,52.02,24.98,76.957,52.61,26.7469,0.100,0.000
9,28.45,83.212,52.01,24.95,76.918,52.59,26.9626,0.100,0.000
10,28.43,83.173,51.98,24.98,76.957,52.56,27.1769,0.100,0.000
11,28.44,83.192,51.95,24.95,76.918,52.52,27.3919,0.100,0.000
12,28.43,83.173,51.91,24.93,76.880,52.48,27.6063,0.100,0.000
13,28.40,83.115,51.92,24.94,76.899,52.46,27.8186,0.100,0.000
14,28.40,83.115,51.87,24.92,76.860,52.43,28.0309,0.100,0.000
15,28.39,83.096,51.86,24.94,76.899,52.40,28.2426,0.100,0.000
16,28.38,83.077,51.82,24.92,76.860,52.37,28.4536,0.100,0.000
17,28.38,83.077,51.82,24.90,76.822,52.35,28.4442,0.100,0.000
18,28.38,83.077,51.79,24.91,76.841,52.31,28.4362,0.711,0.031
19,28.38,83.077,51.78,24.90,76.822,52.30,28.4268,1.655,0.063
20,28.38,83.077,51.75,24.89,76.802,52.28,28.4194,1.900,0.063
21,28.34,83.019,51.73,24.88,76.783,52.25,28.4107,1.900,0.063
22,28.35,83.038,51.74,24.87,76.764,52.25,28.4033,1.900,0.063
23,28.32,82.980,51.71,24.87,76.764,52.22,28.3939,1.900,0.063
24,28.30,82.941,51.67,24.87,76.764,52.20,28.3832,1.900,0.063
25,28.31,82.961,51.66,24.85,76.725,52.18,28.3745,1.900,0.063
