time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pid_i
1,29.4591,85.02632,44.3464,23.9249,75.06486,53.5169,25.278692,0.1000,0.00000
2,29.4591,85.02632,44.3387,23.9035,75.02626,53.4788,25.557384,0.1000,0.00000
3,29.4483,85.00704,44.3464,23.9464,75.10347,53.5016,25.835405,0.1000,0.00000
4,29.4483,85.00704,44.3235,23.9571,75.12278,53.5093,26.113426,0.1000,0.00000
5,29.4483,85.00704,44.3235,23.9035,75.02626,53.5093,26.391448,0.1000,0.00000
6,29.4483,85.00704,44.3159,23.9142,75.04557,53.4788,26.669471,0.1000,0.00000
7,29.4483,85.00704,44.3006,23.9249,75.06486,53.5093,26.947492,0.1000,0.00000
8,29.4376,84.98772,44.2701,23.9142,75.04557,53.5016,27.224843,0.1000,0.00000
9,29.4483,85.00704,44.2930,23.9249,75.06486,53.4940,27.502866,0.1000,0.00000
10,29.4483,85.00704,44.2777,23.9356,75.08416,53.5093,27.780887,0.1000,0.00000
11,29.4376,84.98772,44.2701,23.9249,75.06486,53.5093,28.058238,0.1000,0.00000
12,29.4376,84.98772,44.2472,23.9142,75.04557,53.5016,28.335590,0.1000,0.00000
13,29.4483,85.00704,44.2396,23.9142,75.04557,53.5016,28.613613,0.1000,0.00000
14,29.4269,84.96841,44.2319,23.9249,75.06486,53.5169,28.890296,0.1000,0.00000
15,29.4269,84.96841,44.2167,23.9142,75.04557,53.5016,29.166976,0.1000,0.00000
16,29.4269,84.96841,44.2090,23.9249,75.06486,53.5093,29.443660,0.1000,0.00000
17,29.4376,84.98772,44.2014,23.9249,75.06486,53.5169,29.442319,0.1000,0.00000
18,29.4483,85.00704,44.2167,23.9356,75.08416,53.5169,29.441650,0.1000,0.00000
19,29.4269,84.96841,44.1938,23.9249,75.06486,53.5322,29.440307,0.1000,0.00000
20,29.4269,84.96841,44.1785,23.9249,75.06486,53.5169,29.438968,0.1000,0.00000
21,29.4054,84.92981,44.1785,23.9142,75.04557,53.5245,29.436283,0.2041,0.01125
22,29.4162,84.94911,44.1556,23.9249,75.06486,53.5093,29.434272,0.5477,0.02254
23,29.4054,84.92981,44.1556,23.9356,75.08416,53.5169,29.431591,0.7889,0.03388
24,29.4162,84.94911,44.1404,23.9142,75.04557,53.5093,29.430248,0.9414,0.04526
25,29.4054,84.92981,44.1404,23.9356,75.08416,53.5322,29.427566,1.0617,0.05669
26,29.4162,84.94911,44.1251,23.9249,75.06486,53.5398,29.425552,1.1406,0.06816
27,29.4054,84.92981,44.1251,23.9249,75.06486,53.5322,29.423542,1.1983,0.07966
28,29.4162,84.94911,44.1099,23.9249,75.06486,53.5169,29.422203,1.2351,0.09121
29,29.4162,84.94911,44.1099,23.9249,75.06486,53.5245,29.420188,1.2714,0.10278
30,29.3947,84.91050,44.1022,23.9249,75.06486,53.5245,29.418182,1.3008,0.11440
31,29.4054,84.92981,44.0870,23.9249,75.06486,53.5245,29.416843,1.3187,0.12605
32,29.3840,84.89119,44.0870,23.9249,75.06486,53.5245,29.414161,1.3493,0.13774
33,29.3947,84.91050,44.0870,23.9142,75.04557,53.5322,29.411479,1.3755,0.14948
34,29.3947,84.91050,44.0565,23.9249,75.06486,53.5245,29.408126,1.4056,0.16129
35,29.3947,84.91050,44.0641,23.9356,75.08416,53.5322,29.406116,1.4180,0.17314
36,29.3840,84.89119,44.0565,23.9142,75.04557,53.5322,29.403436,1.4386,0.18505
37,29.4054,84.92981,44.0259,23.9035,75.02626,53.5245,29.403436,1.4304,0.19698
38,29.3947,84.91050,44.0412,23.9142,75.04557,53.5322,29.402095,1.4428,0.20892
39,29.3947,84.91050,44.0336,23.9249,75.06486,53.5245,29.401424,1.4490,0.22089
40,29.3733,84.87188,44.0259,23.9035,75.02626,53.5398,29.398742,1.4784,0.23289
41,29.3947,84.91050,44.0107,23.9356,75.08416,53.5474,29.398073,1.4830,0.24492
42,29.3947,84.91050,44.0031,23.9249,75.06486,53.5245,29.396732,1.4975,0.25697
43,29.3733,84.87188,43.9878,23.9142,75.04557,53.5093,29.394720,1.5190,0.26906
44,29.3840,84.89119,43.9878,23.9142,75.04557,53.5398,29.392709,1.5388,0.28118
45,29.3625,84.85259,43.9878,23.9142,75.04557,53.5398,29.389358,1.5713,0.29336
46,29.3625,84.85259,43.9878,23.9035,75.02626,53.5245,29.387346,1.5854,0.30560
47,29.3733,84.87188,43.9802,23.9142,75.04557,53.5474,29.385334,1.6003,0.31787
48,29.3840,84.89119,43.9649,23.9035,75.02626,53.5245,29.385334,1.5949,0.33016
49,29.3840,84.89119,43.9649,23.9249,75.06486,53.5474,29.384664,1.6023,0.34246
50,29.3733,84.87188,43.9496,23.9142,75.04557,53.5245,29.383323,1.6188,0.35478
51,29.3518,84.83328,43.9420,23.9142,75.04557,53.5398,29.380641,1.6486,0.36714
52,29.3840,84.89119,43.9496,23.9142,75.04557,53.5398,29.380641,1.6468,0.37953
53,29.3733,84.87188,43.9496,23.9142,75.04557,53.5322,29.378629,1.6705,0.39194
54,29.3733,84.87188,43.9344,23.9142,75.04557,53.5322,29.377290,1.6848,0.40438
55,29.3625,84.85259,43.9420,23.9249,75.06486,53.5398,29.375280,1.7064,0.41685
56,29.3733,84.87188,43.9191,23.9035,75.02626,53.5398,29.375280,1.7055,0.42935
57,29.3518,84.83328,43.9344,23.9035,75.02626,53.5322,29.372600,1.7368,0.44187
58,29.3518,84.83328,43.9191,23.9142,75.04557,53.5398,29.369920,1.7637,0.45444
59,29.3411,84.81398,43.9115,23.8927,75.00695,53.5322,29.367906,1.7808,0.46706
60,29.3625,84.85259,43.9115,23.9142,75.04557,53.5245,29.366565,1.7908,0.47972
61,29.3411,84.81398,43.9115,23.9249,75.06486,53.5245,29.365226,1.8026,0.49240
62,29.3518,84.83328,43.9039,23.9035,75.02626,53.5322,29.364555,1.8087,0.50510
63,29.3733,84.87188,43.9039,23.9035,75.02626,53.5245,29.364557,1.8105,0.51781
