time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
1,29.6307,85.33522,43.1562,24.4076,75.93360,54.9589,25.578834,1.9000,191,0.00000
2,29.6199,85.31591,43.1562,24.3861,75.89498,54.9665,26.156328,1.9000,191,0.00000
3,29.6199,85.31591,43.1562,24.3861,75.89498,54.9589,26.733821,1.9000,191,0.00000
4,29.6199,85.31591,43.1562,24.4076,75.93360,54.9665,27.311315,1.9000,191,0.00000
5,29.6092,85.29660,43.1714,24.3968,75.91429,54.9665,27.887468,1.9000,191,0.00000
6,29.6199,85.31591,43.1638,24.3968,75.91429,54.9741,28.464962,1.9000,191,0.00000
7,29.6307,85.33522,43.1867,24.4076,75.93360,54.9665,29.043796,1.9000,191,0.00000
8,29.5985,85.27730,43.1714,24.3968,75.91429,54.9512,29.618608,1.9000,191,0.00000
9,29.5985,85.27730,43.1638,24.4076,75.93360,54.9665,29.614585,1.9000,191,0.00000
10,29.5878,85.25800,43.1714,24.3968,75.91429,54.9741,29.610565,1.9000,191,0.00000
11,29.5770,85.23870,43.1714,24.3861,75.89498,54.9818,29.605201,1.9000,191,0.00000
12,29.5770,85.23870,43.1714,24.3968,75.91429,54.9818,29.599840,1.9000,191,0.00000
13,29.5770,85.23870,43.1714,24.3646,75.85637,54.9589,29.595817,1.9000,191,0.00000
14,29.5770,85.23870,43.1638,24.3968,75.91429,54.9818,29.590454,1.9000,191,0.00000
15,29.5985,85.27730,43.1562,24.4076,75.93360,54.9818,29.586433,1.9000,191,0.00000
16,29.5878,85.25800,43.1562,24.4076,75.93360,55.0123,29.585092,1.9000,191,0.00000
17,29.5878,85.25800,43.1486,24.3861,75.89498,54.9818,29.583751,1.9000,191,0.00000
18,29.5663,85.21938,43.1486,24.3968,75.91429,54.9894,29.581073,1.9000,191,0.00000
19,29.5663,85.21938,43.1562,24.4076,75.93360,54.9970,29.579730,1.9000,191,0.00000
20,29.5770,85.23870,43.1486,24.3861,75.89498,54.9894,29.579730,1.9000,191,0.00000
21,29.5770,85.23870,43.1409,24.3754,75.87567,54.9894,29.579727,1.9000,191,0.00000
22,29.5663,85.21938,43.1409,24.3646,75.85637,54.9818,29.578386,1.9000,191,0.00000
23,29.5770,85.23870,43.1409,24.3968,75.91429,54.9818,29.575706,1.9000,191,0.00000
24,29.5663,85.21938,43.1333,24.3646,75.85637,54.9818,29.573024,1.9000,191,0.00000
25,29.5556,85.20008,43.1257,24.3646,75.85637,54.9818,29.569004,1.9000,191,0.00000
26,29.5770,85.23870,43.1257,24.3432,75.81777,54.9665,29.570346,1.9000,191,0.00000
27,29.5878,85.25800,43.1257,24.3754,75.87567,54.9818,29.573028,1.9000,191,0.00000
28,29.5770,85.23870,43.1180,24.3432,75.81777,54.9894,29.573028,1.9000,191,0.00000
29,29.5770,85.23870,43.1180,24.3432,75.81777,54.9818,29.573024,1.9000,191,0.00000
30,29.5770,85.23870,43.1028,24.3325,75.79846,54.9894,29.574367,1.9000,191,0.00000
31,29.5878,85.25800,43.0875,24.3432,75.81777,54.9741,29.575710,1.9000,191,0.00000
32,29.5770,85.23870,43.1028,24.3754,75.87567,54.9970,29.577049,1.9000,191,0.00000
33,29.5770,85.23870,43.1028,24.3325,75.79846,54.9894,29.579730,1.9000,191,0.00000
34,29.5770,85.23870,43.1257,24.3432,75.81777,55.0123,29.579730,1.9000,191,0.00000
