time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
1,28.6225,83.52053,43.7513,24.7186,76.49345,54.1425,25.452814,1.9000,191,0.00000
2,28.6225,83.52053,43.7665,24.7293,76.51274,54.1349,25.905628,1.9000,191,0.00000
3,28.6440,83.55915,43.7513,24.7186,76.49345,54.1425,26.361124,1.9000,191,0.00000
4,28.6332,83.53984,43.7665,24.7079,76.47414,54.1349,26.815279,0.1000,9,0.00000
5,28.6547,83.57844,43.7513,24.7186,76.49345,54.1425,27.272113,0.1000,9,0.00000
6,28.6332,83.53984,43.7665,24.7079,76.47414,54.1349,27.726270,0.1000,9,0.00000
7,28.6654,83.59774,43.7513,24.7079,76.47414,54.1501,28.184446,0.1000,9,0.00000
8,28.6440,83.55915,43.7437,24.7186,76.49345,54.1578,28.639942,0.1000,9,0.00000
9,28.6547,83.57844,43.7513,24.7079,76.47414,54.1654,28.643962,0.1000,9,0.00000
10,28.6869,83.63636,43.7742,24.7079,76.47414,54.1730,28.652009,0.1000,9,0.00000
11,28.6869,83.63636,43.7513,24.7079,76.47414,54.1578,28.657371,0.1000,9,0.00000
12,28.6869,83.63636,43.7513,24.7079,76.47414,54.1730,28.664073,0.1000,9,0.00000
13,28.6976,83.65567,43.7589,24.6971,76.45484,54.1959,28.669437,0.1000,9,0.00000
14,28.6761,83.61705,43.7589,24.7079,76.47414,54.1730,28.674800,0.1000,9,0.00000
15,28.7083,83.67497,43.7589,24.7186,76.49345,54.1807,28.680162,0.1000,9,0.00000
16,28.6869,83.63636,43.7437,24.7079,76.47414,54.2036,28.685523,0.1000,9,0.00000
17,28.7083,83.67497,43.7437,24.7079,76.47414,54.1883,28.692226,0.1000,9,0.00000
18,28.7083,83.67497,43.7437,24.7079,76.47414,54.2036,28.694908,0.1000,9,0.00000
19,28.6976,83.65567,43.7589,24.7079,76.47414,54.2036,28.696250,0.1000,9,0.00000
20,28.7083,83.67497,43.7437,24.7186,76.49345,54.1959,28.698932,0.1000,9,0.00000
21,28.7083,83.67497,43.7437,24.7293,76.51274,54.1959,28.700271,0.1000,9,0.00000
22,28.7190,83.69428,43.7437,24.7079,76.47414,54.2036,28.705631,0.1000,9,0.00000
23,28.7190,83.69428,43.7360,24.7186,76.49345,54.2188,28.706974,0.1000,9,0.00000
24,28.6976,83.65567,43.7360,24.7079,76.47414,54.2112,28.708316,0.1000,9,0.00000
25,28.7190,83.69428,43.7360,24.7079,76.47414,54.2188,28.709655,0.1000,9,0.00000
26,28.7083,83.67497,43.7208,24.7186,76.49345,54.2188,28.709655,0.1000,9,0.00000
