time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
1,28.8906,84.00315,43.4766,24.6971,76.45484,53.9518,25.486330,28.6971,1.950,196,0.0000,-42.4772,32.0000
2,28.9121,84.04177,43.4690,24.6971,76.45484,53.9136,25.975341,28.6971,1.950,196,0.0000,-29.1332,32.0000
3,28.9121,84.04177,43.4690,24.6971,76.45484,53.9213,26.464353,28.6971,1.950,196,0.0000,-20.2371,32.0000
4,28.9014,84.02246,43.4690,24.7079,76.47414,53.9213,26.952024,28.7079,1.950,196,0.0000,-14.3042,32.0000
5,28.9014,84.02246,43.4690,24.6971,76.45484,53.9365,27.439695,28.6971,1.950,196,0.0000,-10.3489,32.0000
6,28.9121,84.04177,43.4766,24.6864,76.43553,53.9289,27.928707,28.6864,1.950,196,0.0000,-7.7143,32.0000
7,28.9121,84.04177,43.4766,24.6864,76.43553,53.9136,28.417718,28.6864,1.950,196,0.0000,-5.9579,32.0000
8,28.9121,84.04177,43.4614,24.7079,76.47414,53.9289,28.906730,28.7079,1.950,196,0.0000,-4.7869,32.0000
9,28.9121,84.04177,43.4766,24.7293,76.51274,53.9289,28.909412,28.7293,1.950,196,0.0000,-3.1958,32.0000
10,28.9121,84.04177,43.4537,24.7079,76.47414,53.9213,28.909412,28.7079,1.950,196,0.0000,-2.1305,32.0000
11,28.9121,84.04177,43.4843,24.7186,76.49345,53.9213,28.909412,28.7186,1.950,196,0.0000,-1.4203,32.0000
12,28.9228,84.06107,43.4614,24.7079,76.47414,53.9213,28.912094,28.7079,1.950,196,0.0000,-0.9514,32.0000
13,28.9014,84.02246,43.4461,24.7186,76.49345,53.9213,28.912092,28.7186,1.950,196,0.0000,-0.6342,32.0000
14,28.9121,84.04177,43.4843,24.7079,76.47414,53.9365,28.912092,28.7079,1.950,196,0.0000,-0.4228,32.0000
15,28.9335,84.08037,43.4766,24.7293,76.51274,53.9442,28.914773,28.7293,1.950,196,0.0000,-0.2864,32.0000
16,28.9228,84.06107,43.4614,24.7400,76.53205,53.9213,28.916112,28.7400,1.950,196,0.0000,-0.1931,32.0000
17,28.9335,84.08037,43.4766,24.7186,76.49345,53.9213,28.918796,28.7186,1.950,196,0.0000,-0.1332,32.0000
18,28.9335,84.08037,43.4843,24.7508,76.55136,53.9136,28.921476,28.7508,1.950,196,0.0000,-0.0933,32.0000
19,28.9335,84.08037,43.4843,24.7400,76.53205,53.9213,28.924156,28.7400,1.950,196,0.0000,-0.0667,32.0000
20,28.9228,84.06107,43.4843,24.7079,76.47414,53.9136,28.924154,28.7079,1.950,196,0.0000,-0.0444,32.0000
21,28.9335,84.08037,43.4919,24.7293,76.51274,53.8984,28.928178,28.7293,1.950,196,0.0000,-0.0363,32.0000
22,28.9443,84.09969,43.4843,24.7400,76.53205,53.8984,28.932197,28.7400,1.950,196,0.0000,-0.0309,32.0000
23,28.9550,84.11899,43.4919,24.7186,76.49345,53.8984,28.934879,28.7186,1.950,196,0.0000,-0.0251,32.0000
