time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,amps,pid_i
1,26.93,80.47,47.37,23.23,73.81,57.68,2.00,0.00
2,26.97,80.55,47.36,23.21,73.77,57.65,2.00,0.00
3,26.98,80.57,47.38,23.24,73.83,57.65,2.00,0.00
4,27.02,80.64,47.38,23.23,73.81,57.65,2.00,0.00
5,27.01,80.62,47.38,23.22,73.79,57.67,2.00,0.00
6,27.05,80.68,47.37,23.24,73.83,57.64,2.00,0.00
7,27.04,80.66,47.37,23.23,73.81,57.64,2.00,0.00
8,27.08,80.74,47.37,23.24,73.83,57.64,2.00,0.00
9,27.10,80.78,47.35,23.23,73.81,57.62,2.00,0.00
10,27.11,80.80,47.33,23.25,73.85,57.62,2.00,0.00
11,27.13,80.84,47.33,23.24,73.83,57.61,2.00,0.00
12,27.14,80.86,47.33,23.25,73.85,57.61,2.00,0.00
13,27.16,80.90,47.32,23.25,73.85,57.61,2.00,0.00
14,27.17,80.91,47.31,23.28,73.91,57.59,2.00,0.00
15,27.17,80.91,47.30,23.26,73.87,57.62,2.00,0.00
16,27.20,80.95,47.28,23.25,73.85,57.59,2.00,0.00
17,27.23,81.01,47.28,23.26,73.87,57.58,2.00,0.00
18,27.24,81.03,47.25,23.29,73.93,57.57,2.00,0.00
19,27.25,81.05,47.23,23.27,73.89,57.57,2.00,0.00
20,27.25,81.05,47.22,23.28,73.91,57.57,2.00,0.00
21,27.29,81.13,47.19,23.28,73.91,57.57,2.00,0.00
22,27.31,81.17,47.18,23.26,73.87,57.55,2.00,0.00
23,27.34,81.20,47.16,23.27,73.89,57.56,2.00,0.00
24,27.35,81.22,47.12,23.28,73.91,57.54,2.00,0.00
25,27.35,81.22,47.13,23.28,73.91,57.56,2.00,0.00
26,27.36,81.24,47.12,23.28,73.91,57.52,2.00,0.00
27,27.39,81.30,47.09,23.29,73.93,57.53,2.00,0.00
28,27.40,81.32,47.08,23.28,73.91,57.53,2.00,0.00
29,27.42,81.36,47.05,23.30,73.95,57.54,2.00,0.00
30,27.44,81.40,47.05,23.30,73.95,57.54,2.00,0.00
31,27.49,81.47,47.03,23.31,73.96,57.51,2.00,0.00
