time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,amps,pid_i
1,28.35,83.04,47.83,24.14,75.45,56.92,2.00,0.00
2,28.39,83.10,47.80,24.13,75.43,56.91,2.00,0.00
3,28.42,83.15,47.78,24.15,75.47,56.92,2.00,0.00
4,28.44,83.19,47.77,24.13,75.43,56.90,2.00,0.00
5,28.43,83.17,47.76,24.15,75.47,56.89,2.00,0.00
6,28.45,83.21,47.73,24.15,75.47,56.87,2.00,0.00
7,28.45,83.21,47.70,24.16,75.49,56.87,2.00,0.00
8,28.48,83.27,47.68,24.15,75.47,56.87,2.00,0.00
9,28.49,83.29,47.67,24.16,75.49,56.86,2.00,0.00
10,28.53,83.35,47.65,24.16,75.49,56.85,2.00,0.00
11,28.53,83.35,47.63,24.15,75.47,56.84,2.00,0.00
12,28.54,83.37,47.61,24.14,75.45,56.82,2.00,0.00
13,28.58,83.44,47.58,24.16,75.49,56.81,2.00,0.00
14,28.56,83.40,47.56,24.15,75.47,56.79,2.00,0.00
15,28.58,83.44,47.54,24.15,75.47,56.81,2.00,0.00
16,28.61,83.50,47.54,24.14,75.45,56.80,2.00,0.00
17,28.63,83.54,47.50,24.14,75.45,56.79,2.00,0.00
18,28.65,83.58,47.50,24.13,75.43,56.78,2.00,0.00
19,28.65,83.58,47.47,24.14,75.45,56.78,2.00,0.00
20,28.65,83.58,47.46,24.13,75.43,56.77,2.00,0.00
21,28.69,83.64,47.45,24.14,75.45,56.77,2.00,0.00
22,28.68,83.62,47.41,24.13,75.43,56.77,2.00,0.00
23,28.70,83.66,47.41,24.14,75.45,56.77,2.00,0.00
24,28.71,83.67,47.39,24.13,75.43,56.75,2.00,0.00
25,28.73,83.71,47.37,24.13,75.43,56.75,2.00,0.00
26,28.72,83.69,47.34,24.15,75.47,56.74,2.00,0.00
27,28.75,83.75,47.30,24.12,75.41,56.74,2.00,0.00
28,28.77,83.79,47.31,24.15,75.47,56.74,2.00,0.00
29,28.77,83.79,47.30,24.14,75.45,56.74,2.00,0.00
30,28.77,83.79,47.27,24.14,75.45,56.72,2.00,0.00
31,28.79,83.83,47.25,24.13,75.43,56.72,2.00,0.00
32,28.80,83.85,47.22,24.16,75.49,56.71,2.00,0.00
33,28.82,83.87,47.22,24.14,75.45,56.71,2.00,0.00
34,28.82,83.87,47.22,24.12,75.41,56.70,2.00,0.00
35,28.86,83.95,47.19,24.14,75.45,56.71,2.00,0.00
36,28.86,83.95,47.20,24.14,75.45,56.71,2.00,0.00
37,28.89,84.00,47.16,24.14,75.45,56.70,2.00,0.00
38,28.87,83.96,47.15,24.15,75.47,56.70,2.00,0.00
39,28.89,84.00,47.12,24.14,75.45,56.72,2.00,0.00
40,28.90,84.02,47.11,24.15,75.47,56.67,2.00,0.00
41,28.91,84.04,47.09,24.13,75.43,56.68,2.00,0.00
42,28.93,84.08,47.09,24.15,75.47,56.68,2.00,0.00
43,28.94,84.10,47.06,24.16,75.49,56.68,2.00,0.00
44,28.97,84.14,47.04,24.16,75.49,56.66,2.00,0.00
45,28.95,84.12,47.06,24.15,75.47,56.67,2.00,0.00
46,28.98,84.16,47.02,24.14,75.45,56.67,2.00,0.00
47,28.99,84.18,46.99,24.17,75.51,56.65,2.00,0.00
48,28.99,84.18,46.99,24.15,75.47,56.66,2.00,0.00
49,29.01,84.22,46.96,24.16,75.49,56.67,2.00,0.00
50,29.01,84.22,46.95,24.15,75.47,56.65,2.00,0.00
51,29.03,84.25,46.94,24.15,75.47,56.65,2.00,0.00
52,29.04,84.27,46.94,24.16,75.49,56.65,2.00,0.00
53,29.04,84.27,46.93,24.15,75.47,56.64,2.00,0.00
54,29.07,84.33,46.93,24.16,75.49,56.64,2.00,0.00
55,29.07,84.33,46.89,24.14,75.45,56.63,2.00,0.00
56,29.07,84.33,46.88,24.15,75.47,56.62,2.00,0.00
57,29.09,84.37,46.88,24.17,75.51,56.61,2.00,0.00
58,29.09,84.37,46.85,24.12,75.41,56.61,2.00,0.00
59,29.12,84.41,46.85,24.15,75.47,56.61,2.00,0.00
60,29.11,84.39,46.83,24.13,75.43,56.61,2.00,0.00
61,29.11,84.39,46.81,24.14,75.45,56.59,2.00,0.00
62,29.13,84.43,46.80,24.15,75.47,56.61,2.00,0.00
63,29.14,84.45,46.79,24.14,75.45,56.58,2.00,0.00
64,29.16,84.49,46.78,24.15,75.47,56.58,2.00,0.00
65,29.17,84.51,46.77,24.14,75.45,56.56,2.00,0.00
66,29.16,84.49,46.76,24.15,75.47,56.57,2.00,0.00
67,29.19,84.54,46.75,24.14,75.45,56.58,2.00,0.00
68,29.18,84.52,46.73,24.14,75.45,56.57,2.00,0.00
69,29.22,84.60,46.72,24.14,75.45,56.58,2.00,0.00
70,29.22,84.60,46.70,24.14,75.45,56.56,2.00,0.00
71,29.22,84.60,46.70,24.12,75.41,56.56,2.00,0.00
72,29.22,84.60,46.68,24.15,75.47,56.56,2.00,0.00
73,29.26,84.66,46.68,24.12,75.41,56.55,2.00,0.00
74,29.28,84.70,46.67,24.13,75.43,56.53,2.00,0.00
75,29.29,84.72,46.67,24.12,75.41,56.54,2.00,0.00
76,29.30,84.74,46.65,24.11,75.39,56.54,2.00,0.00
77,29.31,84.76,46.64,24.11,75.39,56.55,2.00,0.00
78,29.31,84.76,46.64,24.11,75.39,56.52,2.00,0.00
79,29.33,84.79,46.63,24.14,75.45,56.52,2.00,0.00
80,29.33,84.79,46.60,24.12,75.41,56.52,2.00,0.00
81,29.35,84.83,46.60,24.11,75.39,56.53,2.00,0.00
82,29.36,84.85,46.60,24.10,75.37,56.52,2.00,0.00
83,29.35,84.83,46.57,24.10,75.37,56.52,2.00,0.00
84,29.39,84.91,46.58,24.14,75.45,56.52,2.00,0.00
85,29.41,84.93,46.55,24.10,75.37,56.52,2.00,0.00
86,29.41,84.93,46.54,24.10,75.37,56.51,2.00,0.00
87,29.41,84.93,46.54,24.11,75.39,56.52,2.00,0.00
88,29.41,84.93,46.54,24.10,75.37,56.51,2.00,0.00
89,29.44,84.99,46.51,24.09,75.35,56.50,2.00,0.00
90,29.45,85.01,46.51,24.10,75.37,56.52,2.00,0.00
91,29.44,84.99,46.49,24.08,75.34,56.52,2.00,0.00
92,29.45,85.01,46.47,24.11,75.39,56.51,2.00,0.00
93,29.48,85.06,46.45,24.10,75.37,56.51,2.00,0.00
94,29.48,85.06,46.42,24.09,75.35,56.48,2.00,0.00
95,29.49,85.08,46.41,24.10,75.37,56.48,2.00,0.00
96,29.49,85.08,46.41,24.05,75.30,56.48,2.00,0.00
97,29.51,85.12,46.41,24.09,75.35,56.49,2.00,0.00
98,29.50,85.10,46.39,24.08,75.34,56.48,2.00,0.00
99,29.53,85.16,46.40,24.09,75.35,56.48,2.00,0.00
100,29.53,85.16,46.38,24.06,75.32,56.50,2.00,0.00
101,29.53,85.16,46.36,24.05,75.30,56.48,2.00,0.00
102,29.57,85.22,46.35,24.05,75.30,56.50,2.00,0.00
103,29.58,85.24,46.35,24.06,75.32,56.48,2.00,0.00
104,29.59,85.26,46.32,24.05,75.30,56.50,2.00,0.00
105,29.58,85.24,46.32,24.05,75.30,56.48,2.00,0.00
106,29.60,85.28,46.31,24.06,75.32,56.50,2.00,0.00
107,29.60,85.28,46.29,24.08,75.34,56.48,2.00,0.00
108,29.62,85.32,46.29,24.06,75.32,56.48,2.00,0.00
109,29.61,85.30,46.27,24.08,75.34,56.49,2.00,0.00
110,29.65,85.37,46.26,24.06,75.32,56.48,2.00,0.00
111,29.65,85.37,46.25,24.05,75.30,56.48,2.00,0.00
112,29.65,85.37,46.24,24.09,75.35,56.50,2.00,0.00
113,29.67,85.41,46.22,24.08,75.34,56.49,2.00,0.00
114,29.65,85.37,46.22,24.08,75.34,56.50,2.00,0.00
115,29.70,85.45,46.21,24.06,75.32,56.50,2.00,0.00
116,29.70,85.45,46.20,24.06,75.32,56.49,2.00,0.00
117,29.68,85.43,46.19,24.06,75.32,56.48,2.00,0.00
118,29.71,85.47,46.17,24.03,75.26,56.48,2.00,0.00
119,29.72,85.49,46.15,24.06,75.32,56.50,2.00,0.00
120,29.72,85.49,46.15,24.05,75.30,56.49,2.00,0.00
121,29.73,85.51,46.13,24.04,75.28,56.52,2.00,0.00
122,29.74,85.53,46.13,24.03,75.26,56.48,2.00,0.00
123,29.76,85.57,46.12,24.04,75.28,56.48,1.92,0.00
124,29.77,85.59,46.10,24.05,75.30,56.52,1.84,0.00
125,29.78,85.61,46.10,24.05,75.30,56.52,1.75,0.00
126,29.78,85.61,46.10,24.04,75.28,56.50,1.75,0.00
127,29.79,85.62,46.06,24.04,75.28,56.50,1.67,0.00
128,29.81,85.66,46.06,24.05,75.30,56.50,1.50,0.00
129,29.82,85.68,46.06,24.05,75.30,56.52,1.41,0.00
130,29.85,85.72,46.05,24.05,75.30,56.52,1.24,0.00
131,29.83,85.70,46.02,24.05,75.30,56.52,1.32,0.00
132,29.86,85.74,46.00,24.04,75.28,56.52,1.15,0.00
133,29.87,85.76,46.02,24.04,75.28,56.52,1.07,0.00
134,29.87,85.76,46.02,24.02,75.24,56.52,1.07,0.00
135,29.86,85.74,45.96,24.05,75.30,56.53,1.15,0.00
136,29.88,85.78,45.97,24.04,75.28,56.52,0.98,0.00
137,29.90,85.82,45.95,24.03,75.26,56.52,0.81,0.00
138,29.89,85.80,45.94,24.04,75.28,56.52,0.90,0.00
139,29.89,85.80,45.94,24.05,75.30,56.52,0.90,0.00
140,29.90,85.82,45.93,24.03,75.26,56.52,0.81,0.00
141,29.92,85.86,45.90,24.04,75.28,56.54,0.64,0.00
142,29.91,85.84,45.90,24.06,75.32,56.53,0.72,0.00
143,29.93,85.88,45.88,24.03,75.26,56.53,0.55,0.00
144,29.93,85.88,45.88,24.06,75.32,56.53,0.55,0.00
145,29.93,85.88,45.86,24.03,75.26,56.53,0.55,0.00
146,29.94,85.90,45.86,24.04,75.28,56.53,0.47,0.00
147,29.93,85.88,45.83,24.04,75.28,56.53,0.55,0.00
148,29.93,85.88,45.83,24.03,75.26,56.53,0.55,0.00
149,29.94,85.90,45.83,24.04,75.28,56.52,0.47,0.00
150,29.94,85.90,45.80,24.03,75.26,56.52,0.47,0.00
151,29.95,85.91,45.80,24.03,75.26,56.53,0.38,0.00
152,29.95,85.91,45.80,24.02,75.24,56.54,0.38,0.00
153,29.98,85.97,45.78,24.02,75.24,56.54,0.12,0.00
154,29.97,85.95,45.78,24.03,75.26,56.53,0.21,0.00
155,29.98,85.97,45.76,24.02,75.24,56.55,0.12,0.00
156,29.97,85.95,45.76,24.01,75.22,56.55,0.21,0.00
157,30.00,85.99,45.76,24.01,75.22,56.54,0.10,0.00
158,29.98,85.97,45.72,24.02,75.24,56.55,0.12,0.00
159,29.97,85.95,45.73,24.01,75.22,56.54,0.21,0.00
160,29.98,85.97,45.73,24.00,75.20,56.55,0.12,0.00
161,30.01,86.01,45.70,24.02,75.24,56.55,0.10,0.00
162,29.98,85.97,45.70,24.01,75.22,56.54,0.12,0.00
163,29.98,85.97,45.67,24.02,75.24,56.56,0.12,0.00
164,29.97,85.95,45.67,24.00,75.20,56.55,0.21,0.00
165,29.98,85.97,45.66,24.02,75.24,56.58,0.12,0.00
166,30.00,85.99,45.67,24.00,75.20,56.57,0.10,0.00
167,30.00,85.99,45.64,24.01,75.22,56.58,0.10,0.00
168,30.00,85.99,45.63,24.01,75.22,56.56,0.10,0.00
169,30.01,86.01,45.62,24.01,75.22,56.58,0.10,0.00
170,29.98,85.97,45.61,24.00,75.20,56.57,0.12,0.00
171,29.97,85.95,45.61,24.01,75.22,56.56,0.21,0.00
172,29.96,85.93,45.57,24.02,75.24,56.58,0.29,0.00
173,29.97,85.95,45.59,23.99,75.18,56.56,0.21,0.00
174,29.98,85.97,45.57,23.99,75.18,56.58,0.12,0.00
175,29.97,85.95,45.56,24.00,75.20,56.56,0.21,0.00
176,29.98,85.97,45.56,24.00,75.20,56.57,0.12,0.00
177,29.97,85.95,45.56,23.99,75.18,56.58,0.21,0.00
178,29.96,85.93,45.54,24.01,75.22,56.58,0.29,0.00
179,29.96,85.93,45.54,24.01,75.22,56.58,0.29,0.00
180,29.96,85.93,45.52,24.00,75.20,56.57,0.29,0.00
181,29.97,85.95,45.51,24.00,75.20,56.58,0.21,0.00
182,29.96,85.93,45.51,24.00,75.20,56.57,0.29,0.00
183,29.97,85.95,45.52,23.99,75.18,56.59,0.21,0.00
184,29.95,85.91,45.49,24.00,75.20,56.59,0.38,0.00
185,29.95,85.91,45.51,24.00,75.20,56.59,0.38,0.00
186,29.95,85.91,45.49,23.99,75.18,56.59,0.38,0.00
187,29.94,85.90,45.47,23.99,75.18,56.60,0.47,0.00
