time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,amps,pid_i
1,26.83,80.30,47.55,24.12,75.41,55.33,2.00,0.00
2,26.82,80.28,47.52,24.11,75.39,55.31,2.00,0.00
3,26.81,80.26,47.57,24.13,75.43,55.32,2.00,0.00
4,26.84,80.32,47.57,24.11,75.39,55.32,2.00,0.00
5,26.85,80.34,47.55,24.11,75.39,55.30,2.00,0.00
6,26.83,80.30,47.56,24.13,75.43,55.32,2.00,0.00
7,26.83,80.30,47.60,24.13,75.43,55.32,2.00,0.00
8,26.81,80.26,47.60,24.13,75.43,55.29,2.00,0.00
9,26.82,80.28,47.60,24.11,75.39,55.30,2.00,0.00
10,26.80,80.24,47.60,24.11,75.39,55.30,2.00,0.00
11,26.80,80.24,47.61,24.10,75.37,55.29,2.00,0.00
12,26.81,80.26,47.63,24.12,75.41,55.30,2.00,0.00
13,26.81,80.26,47.63,24.12,75.41,55.31,2.00,0.00
14,26.81,80.26,47.67,24.11,75.39,55.30,2.00,0.00
15,26.82,80.28,47.65,24.13,75.43,55.29,2.00,0.00
16,26.82,80.28,47.66,24.11,75.39,55.31,2.00,0.00
17,26.82,80.28,47.67,24.10,75.37,55.29,2.00,0.00
18,26.81,80.26,47.66,24.10,75.37,55.29,2.00,0.00
19,26.83,80.30,47.67,24.09,75.35,55.29,2.00,0.00
20,26.81,80.26,47.65,24.10,75.37,55.30,2.00,0.00
21,26.81,80.26,47.65,24.11,75.39,55.30,2.00,0.00
22,26.84,80.32,47.65,24.11,75.39,55.32,2.00,0.00
23,26.83,80.30,47.63,24.09,75.35,55.28,2.00,0.00
24,26.84,80.32,47.65,24.11,75.39,55.31,2.00,0.00
25,26.84,80.32,47.64,24.12,75.41,55.29,2.00,0.00
26,26.84,80.32,47.64,24.11,75.39,55.29,2.00,0.00
27,26.85,80.34,47.62,24.11,75.39,55.31,2.00,0.00
28,26.87,80.37,47.62,24.09,75.35,55.29,2.00,0.00
29,26.84,80.32,47.60,24.10,75.37,55.29,2.00,0.00
30,26.86,80.35,47.60,24.11,75.39,55.29,2.00,0.00
31,26.87,80.37,47.60,24.09,75.35,55.28,2.00,0.00
32,26.89,80.39,47.58,24.10,75.37,55.28,2.00,0.00
33,26.90,80.41,47.58,24.10,75.37,55.29,2.00,0.00
34,26.90,80.41,47.60,24.06,75.32,55.29,2.00,0.00
35,26.91,80.43,47.57,24.09,75.35,55.26,2.00,0.00
36,26.90,80.41,47.57,24.08,75.34,55.28,2.00,0.00
37,26.93,80.47,47.58,24.06,75.32,55.27,2.00,0.00
38,26.93,80.47,47.56,24.08,75.34,55.26,2.00,0.00
39,26.94,80.49,47.55,24.09,75.35,55.26,2.00,0.00
40,26.94,80.49,47.55,24.06,75.32,55.26,2.00,0.00
41,26.94,80.49,47.54,24.06,75.32,55.27,2.00,0.00
