time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pid_i
1,26.46,79.62,45.68,24.00,75.20,51.79,25.18,0.10,0.00
2,26.48,79.66,45.69,23.98,75.16,51.79,25.37,0.10,0.00
3,26.49,79.68,45.67,23.99,75.18,51.78,25.55,0.10,0.00
4,26.51,79.72,45.67,23.98,75.16,51.78,25.74,0.10,0.00
5,26.51,79.72,45.64,23.98,75.16,51.79,25.93,0.10,0.00
6,26.52,79.74,45.66,23.97,75.14,51.78,26.12,0.10,0.00
7,26.54,79.78,45.67,23.98,75.16,51.78,26.31,0.10,0.00
8,26.56,79.81,45.67,23.95,75.10,51.79,26.51,0.10,0.00
9,26.57,79.83,45.67,23.97,75.14,51.79,26.52,0.10,0.00
10,26.58,79.85,45.67,23.97,75.14,51.79,26.54,0.10,0.00
11,26.58,79.85,45.65,23.96,75.12,51.78,26.55,0.10,0.00
12,26.60,79.87,45.64,23.97,75.14,51.79,26.56,0.10,0.00
13,26.64,79.95,45.62,23.97,75.14,51.79,26.58,0.10,0.00
14,26.63,79.93,45.62,23.95,75.10,51.79,26.59,0.10,0.00
15,26.64,79.95,45.61,23.96,75.12,51.79,26.60,0.35,0.07
16,26.62,79.91,45.61,23.96,75.12,51.78,26.61,1.90,0.14
17,26.66,79.99,45.59,23.96,75.12,51.79,26.62,2.00,0.14
18,26.66,79.99,45.59,23.95,75.10,51.78,26.63,2.00,0.14
19,26.68,80.03,45.61,23.92,75.06,51.80,26.64,2.00,0.14
20,26.67,80.01,45.57,23.94,75.08,51.79,26.65,2.00,0.14
21,26.71,80.08,45.57,23.95,75.10,51.80,26.66,2.00,0.14
22,26.70,80.06,45.56,23.94,75.08,51.79,26.67,2.00,0.14
23,26.70,80.06,45.54,23.94,75.08,51.79,26.68,2.00,0.14
24,26.71,80.08,45.53,23.94,75.08,51.79,26.69,2.00,0.14
25,26.73,80.12,45.54,23.92,75.06,51.79,26.70,2.00,0.14
26,26.75,80.14,45.51,23.95,75.10,51.79,26.71,2.00,0.14
27,26.77,80.18,45.51,23.95,75.10,51.79,26.72,2.00,0.14
28,26.76,80.16,45.49,23.92,75.06,51.77,26.73,2.00,0.14
29,26.78,80.20,45.49,23.94,75.08,51.79,26.74,2.00,0.14
30,26.77,80.18,45.47,23.95,75.10,51.78,26.75,2.00,0.14
31,26.80,80.24,45.46,23.92,75.06,51.80,26.76,2.00,0.14
32,26.80,80.24,45.45,23.95,75.10,51.79,26.77,2.00,0.14
33,26.81,80.26,45.45,23.96,75.12,51.79,26.78,2.00,0.14
34,26.81,80.26,45.44,23.95,75.10,51.79,26.79,2.00,0.14
35,26.83,80.30,45.43,23.96,75.12,51.79,26.79,2.00,0.14
36,26.83,80.30,45.41,23.94,75.08,51.81,26.80,2.00,0.14
37,26.89,80.39,45.39,23.96,75.12,51.81,26.82,2.00,0.14
38,26.87,80.37,45.39,23.96,75.12,51.81,26.83,2.00,0.14
39,26.89,80.39,45.36,23.96,75.12,51.79,26.84,2.00,0.14
40,26.92,80.45,45.38,23.96,75.12,51.81,26.86,2.00,0.14
41,26.93,80.47,45.35,23.94,75.08,51.81,26.87,2.00,0.14
42,26.93,80.47,45.34,23.96,75.12,51.81,26.89,2.00,0.14
43,26.95,80.51,45.32,23.95,75.10,51.81,26.90,2.00,0.14
44,26.95,80.51,45.32,23.94,75.08,51.81,26.91,2.00,0.14
45,26.97,80.55,45.32,23.94,75.08,51.81,26.93,2.00,0.14
46,27.00,80.61,45.29,23.97,75.14,51.81,26.94,2.00,0.14
47,27.01,80.62,45.30,23.95,75.10,51.81,26.96,2.00,0.14
48,26.99,80.59,45.29,23.95,75.10,51.81,26.97,2.00,0.14
49,27.04,80.66,45.26,23.92,75.06,51.80,26.98,2.00,0.14
50,27.02,80.64,45.26,23.94,75.08,51.81,26.99,2.00,0.14
51,27.06,80.70,45.25,23.91,75.05,51.79,27.01,2.00,0.14
52,27.06,80.70,45.24,23.94,75.08,51.79,27.02,2.00,0.14
53,27.10,80.78,45.22,23.92,75.06,51.79,27.04,2.00,0.14
54,27.12,80.82,45.21,23.92,75.06,51.80,27.05,2.00,0.14
55,27.12,80.82,45.20,23.92,75.06,51.79,27.06,2.00,0.14
56,27.13,80.84,45.20,23.92,75.06,51.81,27.08,2.00,0.14
57,27.15,80.88,45.19,23.91,75.05,51.80,27.10,2.00,0.14
58,27.14,80.86,45.17,23.91,75.05,51.80,27.11,2.00,0.14
59,27.17,80.91,45.16,23.92,75.06,51.80,27.13,2.00,0.14
60,27.23,81.01,45.15,23.90,75.03,51.79,27.15,2.00,0.14
